============================================================
data:
  name: electricity
  root_path: data/electricity
  data_path: electricity.csv
  data_kind: custom
  features: M
  target: OT
  freq: h
  n_vars: 321
model:
  name: metatsf_vglg
  type: vglg
  d_model: 128
  n_layers: 2
  dropout: 0.1
  channel_mlp_mult: 2
  revin: true
  affine: true
  mixer:
    type: vglg
    kernel_size: 31
    rank: 8
    dropout: 0.1
    gate_hidden: 16
    gate_entropy_reg: 0.0
    gate_mode: learned
train:
  name: default
  seq_len: 96
  label_len: 48
  pred_len: 336
  batch_size: 16
  num_workers: 4
  train_epochs: 10
  patience: 3
  learning_rate: 0.0001
  loss: mse
  lradj: type1
  weight_decay: 0.0
  gradient_clip: 1.0
  use_amp: true
  log_interval: 50
  val_interval: 1
  checkpoint_dir: checkpoints
  use_wandb: false
  wandb_project: vglg-tsf
seed: 2022
device: cuda
project: vglg-tsf
run_name: null
tag: ablation_full

============================================================
Loaded data | train=17981 val=2297 test=4925
Built model: metatsf_vglg | params=910,074
  epoch 1 batch 50/1123 loss=0.914310
  epoch 1 batch 100/1123 loss=0.754151
  epoch 1 batch 150/1123 loss=0.646113
  epoch 1 batch 200/1123 loss=0.579577
  epoch 1 batch 250/1123 loss=0.533023
  epoch 1 batch 300/1123 loss=0.495803
  epoch 1 batch 350/1123 loss=0.468026
  epoch 1 batch 400/1123 loss=0.445896
  epoch 1 batch 450/1123 loss=0.427973
  epoch 1 batch 500/1123 loss=0.413387
  epoch 1 batch 550/1123 loss=0.400661
  epoch 1 batch 600/1123 loss=0.389222
  epoch 1 batch 650/1123 loss=0.379452
  epoch 1 batch 700/1123 loss=0.370869
  epoch 1 batch 750/1123 loss=0.363168
  epoch 1 batch 800/1123 loss=0.355702
  epoch 1 batch 850/1123 loss=0.349217
  epoch 1 batch 900/1123 loss=0.343332
  epoch 1 batch 950/1123 loss=0.337789
  epoch 1 batch 1000/1123 loss=0.332968
  epoch 1 batch 1050/1123 loss=0.328198
  epoch 1 batch 1100/1123 loss=0.323739
Epoch 1 | train_loss=0.321766 val_mse=0.202663 val_mae=0.298162 (20.4s)
  Validation improved to 0.202663; saved checkpoint.
  epoch 2 batch 50/1123 loss=0.226530
  epoch 2 batch 100/1123 loss=0.230451
  epoch 2 batch 150/1123 loss=0.227744
  epoch 2 batch 200/1123 loss=0.226620
  epoch 2 batch 250/1123 loss=0.226341
  epoch 2 batch 300/1123 loss=0.225538
