============================================================
data:
  name: weather
  root_path: data/weather
  data_path: weather.csv
  data_kind: custom
  features: M
  target: OT
  freq: t
  n_vars: 21
model:
  name: metatsf_vglg
  type: vglg
  d_model: 128
  n_layers: 2
  dropout: 0.1
  channel_mlp_mult: 2
  revin: true
  affine: true
  mixer:
    type: vglg
    kernel_size: 31
    rank: 8
    dropout: 0.1
    gate_hidden: 16
    gate_entropy_reg: 0.0
    gate_mode: learned
train:
  name: default
  seq_len: 96
  label_len: 48
  pred_len: 336
  batch_size: 32
  num_workers: 4
  train_epochs: 10
  patience: 3
  learning_rate: 0.0001
  loss: mse
  lradj: type1
  weight_decay: 0.0
  gradient_clip: 1.0
  use_amp: true
  log_interval: 50
  val_interval: 1
  checkpoint_dir: checkpoints
  use_wandb: false
  wandb_project: vglg-tsf
seed: 2023
device: cuda
project: vglg-tsf
run_name: null
tag: ablation_full

============================================================
Loaded data | train=36456 val=4935 test=10204
Built model: metatsf_vglg | params=65,274
  epoch 1 batch 50/1139 loss=0.899510
  epoch 1 batch 100/1139 loss=0.860387
  epoch 1 batch 150/1139 loss=0.816823
  epoch 1 batch 200/1139 loss=0.797042
  epoch 1 batch 250/1139 loss=0.774821
  epoch 1 batch 300/1139 loss=0.759009
  epoch 1 batch 350/1139 loss=0.742662
  epoch 1 batch 400/1139 loss=0.733098
  epoch 1 batch 450/1139 loss=0.720403
  epoch 1 batch 500/1139 loss=0.712369
  epoch 1 batch 550/1139 loss=0.705441
  epoch 1 batch 600/1139 loss=0.698402
  epoch 1 batch 650/1139 loss=0.689979
  epoch 1 batch 700/1139 loss=0.685375
  epoch 1 batch 750/1139 loss=0.682414
  epoch 1 batch 800/1139 loss=0.676900
  epoch 1 batch 850/1139 loss=0.672851
  epoch 1 batch 900/1139 loss=0.670594
  epoch 1 batch 950/1139 loss=0.665669
  epoch 1 batch 1000/1139 loss=0.662525
  epoch 1 batch 1050/1139 loss=0.661990
  epoch 1 batch 1100/1139 loss=0.659619
Epoch 1 | train_loss=0.657747 val_mse=0.595178 val_mae=0.398172 (13.1s)
  Validation improved to 0.595178; saved checkpoint.
  epoch 2 batch 50/1139 loss=0.602879
  epoch 2 batch 100/1139 loss=0.605980
  epoch 2 batch 150/1139 loss=0.603677
  epoch 2 batch 200/1139 loss=0.609179
  epoch 2 batch 250/1139 loss=0.607793
  epoch 2 batch 300/1139 loss=0.610165
  epoch 2 batch 350/1139 loss=0.608307
  epoch 2 batch 400/1139 loss=0.604656
  epoch 2 batch 450/1139 loss=0.600977
  epoch 2 batch 500/1139 loss=0.599549
  epoch 2 batch 550/1139 loss=0.595011
  epoch 2 batch 600/1139 loss=0.595159
  epoch 2 batch 650/1139 loss=0.592585
  epoch 2 batch 700/1139 loss=0.593446
  epoch 2 batch 750/1139 loss=0.592179
  epoch 2 batch 800/1139 loss=0.590506
  epoch 2 batch 850/1139 loss=0.589815
  epoch 2 batch 900/1139 loss=0.590342
  epoch 2 batch 950/1139 loss=0.588803
  epoch 2 batch 1000/1139 loss=0.590562
  epoch 2 batch 1050/1139 loss=0.589478
  epoch 2 batch 1100/1139 loss=0.587173
Epoch 2 | train_loss=0.584849 val_mse=0.571195 val_mae=0.384205 (12.5s)
  Validation improved to 0.571195; saved checkpoint.
  epoch 3 batch 50/1139 loss=0.577505
  epoch 3 batch 100/1139 loss=0.599429
  epoch 3 batch 150/1139 loss=0.594062
  epoch 3 batch 200/1139 loss=0.587388
  epoch 3 batch 250/1139 loss=0.587559
  epoch 3 batch 300/1139 loss=0.588554
  epoch 3 batch 350/1139 loss=0.586968
  epoch 3 batch 400/1139 loss=0.582439
  epoch 3 batch 450/1139 loss=0.578318
  epoch 3 batch 500/1139 loss=0.574172
  epoch 3 batch 550/1139 loss=0.574933
  epoch 3 batch 600/1139 loss=0.574364
  epoch 3 batch 650/1139 loss=0.576584
  epoch 3 batch 700/1139 loss=0.574052
  epoch 3 batch 750/1139 loss=0.574083
  epoch 3 batch 800/1139 loss=0.573266
  epoch 3 batch 850/1139 loss=0.571445
  epoch 3 batch 900/1139 loss=0.570502
  epoch 3 batch 950/1139 loss=0.572406
  epoch 3 batch 1000/1139 loss=0.571356
  epoch 3 batch 1050/1139 loss=0.570290
  epoch 3 batch 1100/1139 loss=0.569282
Epoch 3 | train_loss=0.568472 val_mse=0.565703 val_mae=0.380993 (12.5s)
  Validation improved to 0.565703; saved checkpoint.
  epoch 4 batch 50/1139 loss=0.562315
  epoch 4 batch 100/1139 loss=0.543500
  epoch 4 batch 150/1139 loss=0.549108
  epoch 4 batch 200/1139 loss=0.554638
  epoch 4 batch 250/1139 loss=0.560903
  epoch 4 batch 300/1139 loss=0.571339
  epoch 4 batch 350/1139 loss=0.567313
  epoch 4 batch 400/1139 loss=0.567579
  epoch 4 batch 450/1139 loss=0.564373
  epoch 4 batch 500/1139 loss=0.561161
  epoch 4 batch 550/1139 loss=0.564804
  epoch 4 batch 600/1139 loss=0.562493
  epoch 4 batch 650/1139 loss=0.562361
  epoch 4 batch 700/1139 loss=0.564469
  epoch 4 batch 750/1139 loss=0.562696
  epoch 4 batch 800/1139 loss=0.562463
  epoch 4 batch 850/1139 loss=0.564102
  epoch 4 batch 900/1139 loss=0.567771
  epoch 4 batch 950/1139 loss=0.566443
  epoch 4 batch 1000/1139 loss=0.566058
  epoch 4 batch 1050/1139 loss=0.565632
  epoch 4 batch 1100/1139 loss=0.563948
Epoch 4 | train_loss=0.562402 val_mse=0.562643 val_mae=0.379567 (12.4s)
  Validation improved to 0.562643; saved checkpoint.
  epoch 5 batch 50/1139 loss=0.567922
  epoch 5 batch 100/1139 loss=0.551197
  epoch 5 batch 150/1139 loss=0.549478
