============================================================
data:
  name: electricity
  root_path: data/electricity
  data_path: electricity.csv
  data_kind: custom
  features: M
  target: OT
  freq: h
  n_vars: 321
model:
  name: metatsf_vglg
  type: vglg
  d_model: 128
  n_layers: 2
  dropout: 0.1
  channel_mlp_mult: 2
  revin: true
  affine: true
  mixer:
    type: vglg
    kernel_size: 51
    rank: 8
    dropout: 0.1
    gate_hidden: 16
    gate_entropy_reg: 0.0
    gate_mode: learned
train:
  name: default
  seq_len: 96
  label_len: 48
  pred_len: 720
  batch_size: 16
  num_workers: 4
  train_epochs: 10
  patience: 3
  learning_rate: 0.0001
  loss: mse
  lradj: type1
  weight_decay: 0.0
  gradient_clip: 1.0
  use_amp: true
  log_interval: 50
  val_interval: 1
  checkpoint_dir: checkpoints
  use_wandb: false
  wandb_project: vglg-tsf
seed: 2021
device: cuda
project: vglg-tsf
run_name: null
tag: ablation_kernel_51

============================================================
Loaded data | train=17597 val=1913 test=4541
Built model: metatsf_vglg | params=972,450
  epoch 1 batch 50/1099 loss=0.934907
  epoch 1 batch 100/1099 loss=0.777901
  epoch 1 batch 150/1099 loss=0.673788
  epoch 1 batch 200/1099 loss=0.609588
  epoch 1 batch 250/1099 loss=0.564535
  epoch 1 batch 300/1099 loss=0.529278
  epoch 1 batch 350/1099 loss=0.501984
  epoch 1 batch 400/1099 loss=0.480813
  epoch 1 batch 450/1099 loss=0.464069
  epoch 1 batch 500/1099 loss=0.450082
  epoch 1 batch 550/1099 loss=0.437857
  epoch 1 batch 600/1099 loss=0.427990
  epoch 1 batch 650/1099 loss=0.418593
  epoch 1 batch 700/1099 loss=0.410409
  epoch 1 batch 750/1099 loss=0.403096
  epoch 1 batch 800/1099 loss=0.396206
  epoch 1 batch 850/1099 loss=0.390235
  epoch 1 batch 900/1099 loss=0.384292
  epoch 1 batch 950/1099 loss=0.379415
  epoch 1 batch 1000/1099 loss=0.374526
  epoch 1 batch 1050/1099 loss=0.370037
Epoch 1 | train_loss=0.366087 val_mse=0.238870 val_mae=0.325718 (24.7s)
  Validation improved to 0.238870; saved checkpoint.
  epoch 2 batch 50/1099 loss=0.276841
  epoch 2 batch 100/1099 loss=0.274419
  epoch 2 batch 150/1099 loss=0.272196
  epoch 2 batch 200/1099 loss=0.270792
  epoch 2 batch 250/1099 loss=0.269768
  epoch 2 batch 300/1099 loss=0.268662
  epoch 2 batch 350/1099 loss=0.267189
  epoch 2 batch 400/1099 loss=0.266497
  epoch 2 batch 450/1099 loss=0.264358
  epoch 2 batch 500/1099 loss=0.262318
  epoch 2 batch 550/1099 loss=0.260030
  epoch 2 batch 600/1099 loss=0.257908
  epoch 2 batch 650/1099 loss=0.255708
  epoch 2 batch 700/1099 loss=0.253507
  epoch 2 batch 750/1099 loss=0.251766
  epoch 2 batch 800/1099 loss=0.249799
  epoch 2 batch 850/1099 loss=0.248324
  epoch 2 batch 900/1099 loss=0.246522
  epoch 2 batch 950/1099 loss=0.244937
  epoch 2 batch 1000/1099 loss=0.243395
  epoch 2 batch 1050/1099 loss=0.242093
Epoch 2 | train_loss=0.240830 val_mse=0.230061 val_mae=0.320322 (23.2s)
  Validation improved to 0.230061; saved checkpoint.
  epoch 3 batch 50/1099 loss=0.210343
  epoch 3 batch 100/1099 loss=0.210236
  epoch 3 batch 150/1099 loss=0.209957
  epoch 3 batch 200/1099 loss=0.208450
  epoch 3 batch 250/1099 loss=0.208578
  epoch 3 batch 300/1099 loss=0.208518
