============================================================
data:
  name: ettm1
  root_path: data/ETT-small
  data_path: ETTm1.csv
  data_kind: ETTm
  features: M
  target: OT
  freq: t
  n_vars: 7
model:
  name: metatsf_vglg
  type: vglg
  d_model: 128
  n_layers: 2
  dropout: 0.1
  channel_mlp_mult: 2
  revin: true
  affine: true
  mixer:
    type: vglg
    kernel_size: 31
    rank: 8
    dropout: 0.1
    gate_hidden: 16
    gate_entropy_reg: 0.0
    gate_mode: learned
train:
  name: default
  seq_len: 96
  label_len: 48
  pred_len: 336
  batch_size: 32
  num_workers: 4
  train_epochs: 30
  patience: 8
  learning_rate: 0.001
  loss: mse
  lradj: type3
  weight_decay: 0.0001
  gradient_clip: 1.0
  use_amp: true
  gpu_resident_data: false
  matmul_precision: highest
  log_interval: 50
  val_interval: 1
  checkpoint_dir: checkpoints
  use_wandb: false
  wandb_project: vglg-tsf
seed: 2021
device: cuda
project: vglg-tsf
run_name: ettm1_metatsf_vglg_h336_wd0p0001_s2021
tag: metatsf_h720_scout

============================================================
Loaded data | train=34129 val=11185 test=11185
Built model: metatsf_vglg | params=61,018
  epoch 1 batch 50/1066 loss=0.503711
  epoch 1 batch 100/1066 loss=0.468033
  epoch 1 batch 150/1066 loss=0.451174
  epoch 1 batch 200/1066 loss=0.441032
  epoch 1 batch 250/1066 loss=0.436037
  epoch 1 batch 300/1066 loss=0.429639
  epoch 1 batch 350/1066 loss=0.425354
  epoch 1 batch 400/1066 loss=0.422000
  epoch 1 batch 450/1066 loss=0.418299
  epoch 1 batch 500/1066 loss=0.415613
  epoch 1 batch 550/1066 loss=0.413422
  epoch 1 batch 600/1066 loss=0.411273
  epoch 1 batch 650/1066 loss=0.410067
  epoch 1 batch 700/1066 loss=0.408969
  epoch 1 batch 750/1066 loss=0.406988
  epoch 1 batch 800/1066 loss=0.405346
  epoch 1 batch 850/1066 loss=0.403766
  epoch 1 batch 900/1066 loss=0.402170
  epoch 1 batch 950/1066 loss=0.401104
  epoch 1 batch 1000/1066 loss=0.400257
  epoch 1 batch 1050/1066 loss=0.398827
Epoch 1 | train_loss=0.398052 val_mse=0.662378 val_mae=0.538645 (25.9s)
  Validation improved to 0.662378; saved checkpoint.
  epoch 2 batch 50/1066 loss=0.386867
  epoch 2 batch 100/1066 loss=0.379118
  epoch 2 batch 150/1066 loss=0.376238
  epoch 2 batch 200/1066 loss=0.374409
  epoch 2 batch 250/1066 loss=0.376217
  epoch 2 batch 300/1066 loss=0.375532
  epoch 2 batch 350/1066 loss=0.376206
  epoch 2 batch 400/1066 loss=0.375684
  epoch 2 batch 450/1066 loss=0.375925
  epoch 2 batch 500/1066 loss=0.374747
  epoch 2 batch 550/1066 loss=0.374013
  epoch 2 batch 600/1066 loss=0.373830
  epoch 2 batch 650/1066 loss=0.373206
  epoch 2 batch 700/1066 loss=0.372860
  epoch 2 batch 750/1066 loss=0.373593
  epoch 2 batch 800/1066 loss=0.373021
  epoch 2 batch 850/1066 loss=0.373030
  epoch 2 batch 900/1066 loss=0.372648
  epoch 2 batch 950/1066 loss=0.372174
  epoch 2 batch 1000/1066 loss=0.371261
  epoch 2 batch 1050/1066 loss=0.370699
Epoch 2 | train_loss=0.370756 val_mse=0.651695 val_mae=0.533278 (25.7s)
  Validation improved to 0.651695; saved checkpoint.
  epoch 3 batch 50/1066 loss=0.360260
  epoch 3 batch 100/1066 loss=0.364820
  epoch 3 batch 150/1066 loss=0.362969
  epoch 3 batch 200/1066 loss=0.362507
  epoch 3 batch 250/1066 loss=0.362504
  epoch 3 batch 300/1066 loss=0.363868
  epoch 3 batch 350/1066 loss=0.365549
