============================================================
data:
  name: weather
  root_path: data/weather
  data_path: weather.csv
  data_kind: custom
  features: M
  target: OT
  freq: t
  n_vars: 21
model:
  name: metatsf_vglg
  type: vglg
  d_model: 128
  n_layers: 2
  dropout: 0.1
  channel_mlp_mult: 2
  revin: true
  affine: true
  mixer:
    type: vglg
    kernel_size: 31
    rank: 8
    dropout: 0.1
    gate_hidden: 16
    gate_entropy_reg: 0.0
    gate_mode: learned
train:
  name: default
  seq_len: 96
  label_len: 48
  pred_len: 336
  batch_size: 32
  num_workers: 4
  train_epochs: 30
  patience: 8
  learning_rate: 0.001
  loss: mse
  lradj: type3
  weight_decay: 0.0005
  gradient_clip: 1.0
  use_amp: true
  gpu_resident_data: false
  matmul_precision: highest
  log_interval: 50
  val_interval: 1
  checkpoint_dir: checkpoints
  use_wandb: false
  wandb_project: vglg-tsf
seed: 2021
device: cuda
project: vglg-tsf
run_name: weather_metatsf_vglg_h336_wd0p0005_s2021
tag: metatsf_h720_scout

============================================================
Loaded data | train=36456 val=4935 test=10204
Built model: metatsf_vglg | params=65,274
  epoch 1 batch 50/1139 loss=0.734992
  epoch 1 batch 100/1139 loss=0.678716
  epoch 1 batch 150/1139 loss=0.659139
  epoch 1 batch 200/1139 loss=0.641081
  epoch 1 batch 250/1139 loss=0.619836
  epoch 1 batch 300/1139 loss=0.617023
  epoch 1 batch 350/1139 loss=0.611099
  epoch 1 batch 400/1139 loss=0.605098
  epoch 1 batch 450/1139 loss=0.598331
  epoch 1 batch 500/1139 loss=0.596954
  epoch 1 batch 550/1139 loss=0.591576
  epoch 1 batch 600/1139 loss=0.587359
  epoch 1 batch 650/1139 loss=0.584462
  epoch 1 batch 700/1139 loss=0.580454
  epoch 1 batch 750/1139 loss=0.578377
  epoch 1 batch 800/1139 loss=0.576895
  epoch 1 batch 850/1139 loss=0.575186
  epoch 1 batch 900/1139 loss=0.572466
  epoch 1 batch 950/1139 loss=0.569928
  epoch 1 batch 1000/1139 loss=0.568258
  epoch 1 batch 1050/1139 loss=0.566470
  epoch 1 batch 1100/1139 loss=0.566108
Epoch 1 | train_loss=0.565740 val_mse=0.554628 val_mae=0.375334 (26.7s)
  Validation improved to 0.554628; saved checkpoint.
  epoch 2 batch 50/1139 loss=0.537544
  epoch 2 batch 100/1139 loss=0.537788
  epoch 2 batch 150/1139 loss=0.527356
  epoch 2 batch 200/1139 loss=0.525489
  epoch 2 batch 250/1139 loss=0.526164
  epoch 2 batch 300/1139 loss=0.524234
  epoch 2 batch 350/1139 loss=0.522254
  epoch 2 batch 400/1139 loss=0.524074
  epoch 2 batch 450/1139 loss=0.525168
  epoch 2 batch 500/1139 loss=0.523479
  epoch 2 batch 550/1139 loss=0.527359
