============================================================
data:
  name: ettm1
  root_path: data/ETT-small
  data_path: ETTm1.csv
  data_kind: ETTm
  features: M
  target: OT
  freq: t
  n_vars: 7
model:
  name: metatsf_conv
  type: cnn
  d_model: 128
  n_layers: 2
  dropout: 0.1
  channel_mlp_mult: 2
  revin: true
  affine: true
  mixer:
    type: conv
    kernel_size: 31
    dropout: 0.1
train:
  name: default
  seq_len: 96
  label_len: 48
  pred_len: 192
  batch_size: 32
  num_workers: 4
  train_epochs: 30
  patience: 8
  learning_rate: 0.001
  loss: mse
  lradj: type3
  weight_decay: 0.0
  gradient_clip: 1.0
  use_amp: true
  gpu_resident_data: false
  matmul_precision: highest
  log_interval: 50
  val_interval: 1
  checkpoint_dir: checkpoints
  use_wandb: false
  wandb_project: vglg-tsf
seed: 2021
device: cuda
project: vglg-tsf
run_name: null
tag: metatsf_tuned

============================================================
Loaded data | train=34273 val=11329 test=11329
Built model: metatsf_conv | params=38,248
  epoch 1 batch 50/1071 loss=0.427022
  epoch 1 batch 100/1071 loss=0.402570
  epoch 1 batch 150/1071 loss=0.392499
  epoch 1 batch 200/1071 loss=0.386405
  epoch 1 batch 250/1071 loss=0.381840
  epoch 1 batch 300/1071 loss=0.378912
  epoch 1 batch 350/1071 loss=0.374725
  epoch 1 batch 400/1071 loss=0.372910
  epoch 1 batch 450/1071 loss=0.370708
  epoch 1 batch 500/1071 loss=0.367137
  epoch 1 batch 550/1071 loss=0.363433
  epoch 1 batch 600/1071 loss=0.361238
  epoch 1 batch 650/1071 loss=0.358932
  epoch 1 batch 700/1071 loss=0.357232
  epoch 1 batch 750/1071 loss=0.355030
  epoch 1 batch 800/1071 loss=0.353937
  epoch 1 batch 850/1071 loss=0.352147
  epoch 1 batch 900/1071 loss=0.351417
  epoch 1 batch 950/1071 loss=0.350153
  epoch 1 batch 1000/1071 loss=0.348540
  epoch 1 batch 1050/1071 loss=0.347002
Epoch 1 | train_loss=0.346638 val_mse=0.511023 val_mae=0.469946 (23.6s)
  Validation improved to 0.511023; saved checkpoint.
  epoch 2 batch 50/1071 loss=0.333830
  epoch 2 batch 100/1071 loss=0.328927
  epoch 2 batch 150/1071 loss=0.329089
  epoch 2 batch 200/1071 loss=0.325496
  epoch 2 batch 250/1071 loss=0.324459
  epoch 2 batch 300/1071 loss=0.323127
  epoch 2 batch 350/1071 loss=0.323267
  epoch 2 batch 400/1071 loss=0.323466
  epoch 2 batch 450/1071 loss=0.322861
  epoch 2 batch 500/1071 loss=0.322772
  epoch 2 batch 550/1071 loss=0.321787
  epoch 2 batch 600/1071 loss=0.321203
  epoch 2 batch 650/1071 loss=0.321771
  epoch 2 batch 700/1071 loss=0.321790
  epoch 2 batch 750/1071 loss=0.321045
  epoch 2 batch 800/1071 loss=0.320105
  epoch 2 batch 850/1071 loss=0.319813
  epoch 2 batch 900/1071 loss=0.320411
  epoch 2 batch 950/1071 loss=0.320482
  epoch 2 batch 1000/1071 loss=0.320181
  epoch 2 batch 1050/1071 loss=0.319580
Epoch 2 | train_loss=0.319283 val_mse=0.507418 val_mae=0.468483 (86.0s)
  Validation improved to 0.507418; saved checkpoint.
  epoch 3 batch 50/1071 loss=0.314926
  epoch 3 batch 100/1071 loss=0.314717
  epoch 3 batch 150/1071 loss=0.313481
  epoch 3 batch 200/1071 loss=0.311615
  epoch 3 batch 250/1071 loss=0.311261
  epoch 3 batch 300/1071 loss=0.312376
  epoch 3 batch 350/1071 loss=0.314129
  epoch 3 batch 400/1071 loss=0.313797
  epoch 3 batch 450/1071 loss=0.314616
  epoch 3 batch 500/1071 loss=0.315233
  epoch 3 batch 550/1071 loss=0.314073
  epoch 3 batch 600/1071 loss=0.313027
  epoch 3 batch 650/1071 loss=0.311920
  epoch 3 batch 700/1071 loss=0.311461
  epoch 3 batch 750/1071 loss=0.311969
  epoch 3 batch 800/1071 loss=0.312334
  epoch 3 batch 850/1071 loss=0.312767
  epoch 3 batch 900/1071 loss=0.312789
  epoch 3 batch 950/1071 loss=0.312578
  epoch 3 batch 1000/1071 loss=0.312232
  epoch 3 batch 1050/1071 loss=0.312250
Epoch 3 | train_loss=0.312731 val_mse=0.512485 val_mae=0.473339 (93.0s)
  EarlyStopping: 1/8
  epoch 4 batch 50/1071 loss=0.312875
  epoch 4 batch 100/1071 loss=0.310110
  epoch 4 batch 150/1071 loss=0.309877
  epoch 4 batch 200/1071 loss=0.309028
