============================================================
data:
  name: ettm1
  root_path: data/ETT-small
  data_path: ETTm1.csv
  data_kind: ETTm
  features: M
  target: OT
  freq: t
  n_vars: 7
model:
  name: metatsf_mlp
  type: mlp
  d_model: 128
  n_layers: 2
  dropout: 0.1
  channel_mlp_mult: 2
  revin: true
  affine: true
  mixer:
    type: mlp
    hidden_mult: 2
    dropout: 0.1
train:
  name: default
  seq_len: 96
  label_len: 48
  pred_len: 720
  batch_size: 32
  num_workers: 4
  train_epochs: 30
  patience: 8
  learning_rate: 0.001
  loss: mse
  lradj: type3
  weight_decay: 0.0
  gradient_clip: 1.0
  use_amp: true
  gpu_resident_data: false
  matmul_precision: highest
  log_interval: 50
  val_interval: 1
  checkpoint_dir: checkpoints
  use_wandb: false
  wandb_project: vglg-tsf
seed: 2021
device: cuda
project: vglg-tsf
run_name: null
tag: metatsf_tuned

============================================================
Loaded data | train=33745 val=10801 test=10801
Built model: metatsf_mlp | params=237,640
  epoch 1 batch 50/1054 loss=0.538944
  epoch 1 batch 100/1054 loss=0.510624
  epoch 1 batch 150/1054 loss=0.500231
  epoch 1 batch 200/1054 loss=0.491925
  epoch 1 batch 250/1054 loss=0.485554
  epoch 1 batch 300/1054 loss=0.481586
  epoch 1 batch 350/1054 loss=0.479380
  epoch 1 batch 400/1054 loss=0.478046
  epoch 1 batch 450/1054 loss=0.476787
  epoch 1 batch 500/1054 loss=0.474915
  epoch 1 batch 550/1054 loss=0.474417
  epoch 1 batch 600/1054 loss=0.473232
  epoch 1 batch 650/1054 loss=0.472013
  epoch 1 batch 700/1054 loss=0.471934
  epoch 1 batch 750/1054 loss=0.469979
  epoch 1 batch 800/1054 loss=0.468500
  epoch 1 batch 850/1054 loss=0.467828
  epoch 1 batch 900/1054 loss=0.466713
  epoch 1 batch 950/1054 loss=0.465737
  epoch 1 batch 1000/1054 loss=0.465136
  epoch 1 batch 1050/1054 loss=0.464833
Epoch 1 | train_loss=0.464686 val_mse=0.975405 val_mae=0.651594 (15.7s)
  Validation improved to 0.975405; saved checkpoint.
  epoch 2 batch 50/1054 loss=0.444680
  epoch 2 batch 100/1054 loss=0.446378
  epoch 2 batch 150/1054 loss=0.443894
  epoch 2 batch 200/1054 loss=0.443174
  epoch 2 batch 250/1054 loss=0.445255
  epoch 2 batch 300/1054 loss=0.443188
  epoch 2 batch 350/1054 loss=0.442897
  epoch 2 batch 400/1054 loss=0.443448
  epoch 2 batch 450/1054 loss=0.444174
  epoch 2 batch 500/1054 loss=0.443918
  epoch 2 batch 550/1054 loss=0.442867
  epoch 2 batch 600/1054 loss=0.442813
  epoch 2 batch 650/1054 loss=0.442387
  epoch 2 batch 700/1054 loss=0.442483
  epoch 2 batch 750/1054 loss=0.442041
  epoch 2 batch 800/1054 loss=0.441214
  epoch 2 batch 850/1054 loss=0.440823
  epoch 2 batch 900/1054 loss=0.440300
  epoch 2 batch 950/1054 loss=0.439976
  epoch 2 batch 1000/1054 loss=0.439537
  epoch 2 batch 1050/1054 loss=0.439175
Epoch 2 | train_loss=0.439017 val_mse=0.969444 val_mae=0.651247 (17.0s)
  Validation improved to 0.969444; saved checkpoint.
  epoch 3 batch 50/1054 loss=0.427520
  epoch 3 batch 100/1054 loss=0.429009
  epoch 3 batch 150/1054 loss=0.426356
  epoch 3 batch 200/1054 loss=0.426573
  epoch 3 batch 250/1054 loss=0.425631
  epoch 3 batch 300/1054 loss=0.426712
  epoch 3 batch 350/1054 loss=0.427195
  epoch 3 batch 400/1054 loss=0.427239
  epoch 3 batch 450/1054 loss=0.427471
  epoch 3 batch 500/1054 loss=0.426242
  epoch 3 batch 550/1054 loss=0.425675
  epoch 3 batch 600/1054 loss=0.426217
  epoch 3 batch 650/1054 loss=0.426362
  epoch 3 batch 700/1054 loss=0.426852
  epoch 3 batch 750/1054 loss=0.426607
  epoch 3 batch 800/1054 loss=0.426088
  epoch 3 batch 850/1054 loss=0.425923
  epoch 3 batch 900/1054 loss=0.426112
  epoch 3 batch 950/1054 loss=0.426089
  epoch 3 batch 1000/1054 loss=0.425804
  epoch 3 batch 1050/1054 loss=0.425571
Epoch 3 | train_loss=0.425392 val_mse=0.968022 val_mae=0.652271 (27.2s)
  Validation improved to 0.968022; saved checkpoint.
  epoch 4 batch 50/1054 loss=0.411055
  epoch 4 batch 100/1054 loss=0.414512
  epoch 4 batch 150/1054 loss=0.418362
  epoch 4 batch 200/1054 loss=0.420062
  epoch 4 batch 250/1054 loss=0.419751
  epoch 4 batch 300/1054 loss=0.420924
  epoch 4 batch 350/1054 loss=0.420384
  epoch 4 batch 400/1054 loss=0.418702
  epoch 4 batch 450/1054 loss=0.417128
  epoch 4 batch 500/1054 loss=0.416383
  epoch 4 batch 550/1054 loss=0.416538
  epoch 4 batch 600/1054 loss=0.416248
  epoch 4 batch 650/1054 loss=0.416497
  epoch 4 batch 700/1054 loss=0.416552
  epoch 4 batch 750/1054 loss=0.415581
  epoch 4 batch 800/1054 loss=0.415226
  epoch 4 batch 850/1054 loss=0.415018
  epoch 4 batch 900/1054 loss=0.414648
  epoch 4 batch 950/1054 loss=0.414428
  epoch 4 batch 1000/1054 loss=0.414474
  epoch 4 batch 1050/1054 loss=0.414138
Epoch 4 | train_loss=0.414103 val_mse=0.971328 val_mae=0.653134 (15.5s)
  EarlyStopping: 1/8
  epoch 5 batch 50/1054 loss=0.397512
  epoch 5 batch 100/1054 loss=0.399281
  epoch 5 batch 150/1054 loss=0.403043
  epoch 5 batch 200/1054 loss=0.405355
  epoch 5 batch 250/1054 loss=0.406092
  epoch 5 batch 300/1054 loss=0.406954
  epoch 5 batch 350/1054 loss=0.406112
  epoch 5 batch 400/1054 loss=0.405461
  epoch 5 batch 450/1054 loss=0.404639
  epoch 5 batch 500/1054 loss=0.404701
  epoch 5 batch 550/1054 loss=0.405131
  epoch 5 batch 600/1054 loss=0.405494
  epoch 5 batch 650/1054 loss=0.404980
  epoch 5 batch 700/1054 loss=0.404556
  epoch 5 batch 750/1054 loss=0.405005
  epoch 5 batch 800/1054 loss=0.405302
  epoch 5 batch 850/1054 loss=0.405276
  epoch 5 batch 900/1054 loss=0.405402
  epoch 5 batch 950/1054 loss=0.405347
  epoch 5 batch 1000/1054 loss=0.405390
  epoch 5 batch 1050/1054 loss=0.405441
Epoch 5 | train_loss=0.405332 val_mse=0.971175 val_mae=0.653349 (14.9s)
  EarlyStopping: 2/8
  epoch 6 batch 50/1054 loss=0.401035
  epoch 6 batch 100/1054 loss=0.397061
  epoch 6 batch 150/1054 loss=0.398141
  epoch 6 batch 200/1054 loss=0.396131
  epoch 6 batch 250/1054 loss=0.397148
  epoch 6 batch 300/1054 loss=0.398277
  epoch 6 batch 350/1054 loss=0.398258
  epoch 6 batch 400/1054 loss=0.397481
  epoch 6 batch 450/1054 loss=0.396743
  epoch 6 batch 500/1054 loss=0.396544
  epoch 6 batch 550/1054 loss=0.396648
  epoch 6 batch 600/1054 loss=0.396664
  epoch 6 batch 650/1054 loss=0.396699
  epoch 6 batch 700/1054 loss=0.397165
  epoch 6 batch 750/1054 loss=0.397635
  epoch 6 batch 800/1054 loss=0.397715
  epoch 6 batch 850/1054 loss=0.397790
  epoch 6 batch 900/1054 loss=0.397624
  epoch 6 batch 950/1054 loss=0.397197
  epoch 6 batch 1000/1054 loss=0.396550
  epoch 6 batch 1050/1054 loss=0.396733
Epoch 6 | train_loss=0.396657 val_mse=0.980960 val_mae=0.657918 (15.1s)
  EarlyStopping: 3/8
  epoch 7 batch 50/1054 loss=0.397910
  epoch 7 batch 100/1054 loss=0.390408
  epoch 7 batch 150/1054 loss=0.388592
  epoch 7 batch 200/1054 loss=0.387824
  epoch 7 batch 250/1054 loss=0.390122
  epoch 7 batch 300/1054 loss=0.389173
  epoch 7 batch 350/1054 loss=0.391190
  epoch 7 batch 400/1054 loss=0.391586
  epoch 7 batch 450/1054 loss=0.392770
  epoch 7 batch 500/1054 loss=0.392722
  epoch 7 batch 550/1054 loss=0.392087
  epoch 7 batch 600/1054 loss=0.392818
  epoch 7 batch 650/1054 loss=0.392774
  epoch 7 batch 700/1054 loss=0.392838
  epoch 7 batch 750/1054 loss=0.391927
  epoch 7 batch 800/1054 loss=0.391622
  epoch 7 batch 850/1054 loss=0.391163
  epoch 7 batch 900/1054 loss=0.390574
  epoch 7 batch 950/1054 loss=0.390063
  epoch 7 batch 1000/1054 loss=0.389986
  epoch 7 batch 1050/1054 loss=0.389810
Epoch 7 | train_loss=0.389719 val_mse=0.975980 val_mae=0.656445 (15.2s)
  EarlyStopping: 4/8
  epoch 8 batch 50/1054 loss=0.382489
  epoch 8 batch 100/1054 loss=0.388560
  epoch 8 batch 150/1054 loss=0.385150
  epoch 8 batch 200/1054 loss=0.385285
  epoch 8 batch 250/1054 loss=0.385596
  epoch 8 batch 300/1054 loss=0.383595
  epoch 8 batch 350/1054 loss=0.383889
  epoch 8 batch 400/1054 loss=0.383654
  epoch 8 batch 450/1054 loss=0.383729
  epoch 8 batch 500/1054 loss=0.384111
  epoch 8 batch 550/1054 loss=0.383843
  epoch 8 batch 600/1054 loss=0.383804
  epoch 8 batch 650/1054 loss=0.383919
  epoch 8 batch 700/1054 loss=0.383776
  epoch 8 batch 750/1054 loss=0.382990
  epoch 8 batch 800/1054 loss=0.382772
  epoch 8 batch 850/1054 loss=0.382819
  epoch 8 batch 900/1054 loss=0.382581
  epoch 8 batch 950/1054 loss=0.382303
  epoch 8 batch 1000/1054 loss=0.382408
  epoch 8 batch 1050/1054 loss=0.382812
Epoch 8 | train_loss=0.382916 val_mse=0.985305 val_mae=0.659603 (20.8s)
  EarlyStopping: 5/8
  epoch 9 batch 50/1054 loss=0.376455
  epoch 9 batch 100/1054 loss=0.378897
  epoch 9 batch 150/1054 loss=0.377461
  epoch 9 batch 200/1054 loss=0.376902
  epoch 9 batch 250/1054 loss=0.377626
  epoch 9 batch 300/1054 loss=0.377741
  epoch 9 batch 350/1054 loss=0.378265
  epoch 9 batch 400/1054 loss=0.377863
  epoch 9 batch 450/1054 loss=0.377662
  epoch 9 batch 500/1054 loss=0.377109
  epoch 9 batch 550/1054 loss=0.376867
  epoch 9 batch 600/1054 loss=0.377032
  epoch 9 batch 650/1054 loss=0.376508
  epoch 9 batch 700/1054 loss=0.376137
  epoch 9 batch 750/1054 loss=0.376437
  epoch 9 batch 800/1054 loss=0.376794
  epoch 9 batch 850/1054 loss=0.376646
  epoch 9 batch 900/1054 loss=0.376962
  epoch 9 batch 950/1054 loss=0.377217
  epoch 9 batch 1000/1054 loss=0.377145
  epoch 9 batch 1050/1054 loss=0.377145
Epoch 9 | train_loss=0.377185 val_mse=0.971458 val_mae=0.654104 (16.3s)
  EarlyStopping: 6/8
  epoch 10 batch 50/1054 loss=0.375262
  epoch 10 batch 100/1054 loss=0.375605
  epoch 10 batch 150/1054 loss=0.374366
