============================================================
data:
  name: ettm2
  root_path: data/ETT-small
  data_path: ETTm2.csv
  data_kind: ETTm
  features: M
  target: OT
  freq: t
  n_vars: 7
model:
  name: metatsf_vglg
  type: vglg
  d_model: 128
  n_layers: 2
  dropout: 0.1
  channel_mlp_mult: 2
  revin: true
  affine: true
  mixer:
    type: vglg
    kernel_size: 31
    rank: 8
    dropout: 0.1
    gate_hidden: 16
    gate_entropy_reg: 0.0
    gate_mode: learned
train:
  name: default
  seq_len: 96
  label_len: 48
  pred_len: 336
  batch_size: 32
  num_workers: 4
  train_epochs: 30
  patience: 8
  learning_rate: 0.001
  loss: mse
  lradj: type3
  weight_decay: 0.0
  gradient_clip: 1.0
  use_amp: true
  gpu_resident_data: false
  matmul_precision: highest
  log_interval: 50
  val_interval: 1
  checkpoint_dir: checkpoints
  use_wandb: false
  wandb_project: vglg-tsf
seed: 2021
device: cuda
project: vglg-tsf
run_name: null
tag: metatsf_tuned

============================================================
Loaded data | train=34129 val=11185 test=11185
Built model: metatsf_vglg | params=61,018
  epoch 1 batch 50/1066 loss=0.473680
  epoch 1 batch 100/1066 loss=0.446989
  epoch 1 batch 150/1066 loss=0.455870
  epoch 1 batch 200/1066 loss=0.458018
  epoch 1 batch 250/1066 loss=0.452309
  epoch 1 batch 300/1066 loss=0.454004
  epoch 1 batch 350/1066 loss=0.448152
  epoch 1 batch 400/1066 loss=0.447955
  epoch 1 batch 450/1066 loss=0.443250
  epoch 1 batch 500/1066 loss=0.438006
  epoch 1 batch 550/1066 loss=0.435427
  epoch 1 batch 600/1066 loss=0.432163
  epoch 1 batch 650/1066 loss=0.432680
  epoch 1 batch 700/1066 loss=0.430588
  epoch 1 batch 750/1066 loss=0.429391
  epoch 1 batch 800/1066 loss=0.428899
  epoch 1 batch 850/1066 loss=0.429005
  epoch 1 batch 900/1066 loss=0.429109
  epoch 1 batch 950/1066 loss=0.426327
  epoch 1 batch 1000/1066 loss=0.424181
  epoch 1 batch 1050/1066 loss=0.422128
Epoch 1 | train_loss=0.421638 val_mse=0.220647 val_mae=0.325705 (26.7s)
  Validation improved to 0.220647; saved checkpoint.
  epoch 2 batch 50/1066 loss=0.393612
  epoch 2 batch 100/1066 loss=0.402716
  epoch 2 batch 150/1066 loss=0.397141
  epoch 2 batch 200/1066 loss=0.394235
  epoch 2 batch 250/1066 loss=0.390332
  epoch 2 batch 300/1066 loss=0.388716
  epoch 2 batch 350/1066 loss=0.386741
  epoch 2 batch 400/1066 loss=0.386217
  epoch 2 batch 450/1066 loss=0.384935
  epoch 2 batch 500/1066 loss=0.382713
  epoch 2 batch 550/1066 loss=0.380791
  epoch 2 batch 600/1066 loss=0.379248
  epoch 2 batch 650/1066 loss=0.376218
  epoch 2 batch 700/1066 loss=0.376361
  epoch 2 batch 750/1066 loss=0.376644
  epoch 2 batch 800/1066 loss=0.375734
  epoch 2 batch 850/1066 loss=0.375482
  epoch 2 batch 900/1066 loss=0.375216
  epoch 2 batch 950/1066 loss=0.373854
  epoch 2 batch 1000/1066 loss=0.375095
  epoch 2 batch 1050/1066 loss=0.373671
Epoch 2 | train_loss=0.373752 val_mse=0.222069 val_mae=0.325295 (24.7s)
  EarlyStopping: 1/8
  epoch 3 batch 50/1066 loss=0.341625
  epoch 3 batch 100/1066 loss=0.340912
  epoch 3 batch 150/1066 loss=0.352039
  epoch 3 batch 200/1066 loss=0.356145
  epoch 3 batch 250/1066 loss=0.352752
  epoch 3 batch 300/1066 loss=0.357986
  epoch 3 batch 350/1066 loss=0.361581
  epoch 3 batch 400/1066 loss=0.361174
  epoch 3 batch 450/1066 loss=0.354780
  epoch 3 batch 500/1066 loss=0.353877
  epoch 3 batch 550/1066 loss=0.352103
  epoch 3 batch 600/1066 loss=0.353648
  epoch 3 batch 650/1066 loss=0.354424
  epoch 3 batch 700/1066 loss=0.353464
  epoch 3 batch 750/1066 loss=0.352892
  epoch 3 batch 800/1066 loss=0.354303
  epoch 3 batch 850/1066 loss=0.354615
  epoch 3 batch 900/1066 loss=0.354207
  epoch 3 batch 950/1066 loss=0.354941
  epoch 3 batch 1000/1066 loss=0.354708
  epoch 3 batch 1050/1066 loss=0.353742
Epoch 3 | train_loss=0.353800 val_mse=0.220427 val_mae=0.323923 (24.6s)
  Validation improved to 0.220427; saved checkpoint.
  epoch 4 batch 50/1066 loss=0.331239
  epoch 4 batch 100/1066 loss=0.328718
  epoch 4 batch 150/1066 loss=0.341417
  epoch 4 batch 200/1066 loss=0.341253
  epoch 4 batch 250/1066 loss=0.344009
  epoch 4 batch 300/1066 loss=0.338430
  epoch 4 batch 350/1066 loss=0.339547
  epoch 4 batch 400/1066 loss=0.341830
  epoch 4 batch 450/1066 loss=0.340966
  epoch 4 batch 500/1066 loss=0.345967
  epoch 4 batch 550/1066 loss=0.344127
  epoch 4 batch 600/1066 loss=0.345764
  epoch 4 batch 650/1066 loss=0.346938
  epoch 4 batch 700/1066 loss=0.345640
  epoch 4 batch 750/1066 loss=0.346232
  epoch 4 batch 800/1066 loss=0.344761
  epoch 4 batch 850/1066 loss=0.345639
  epoch 4 batch 900/1066 loss=0.345468
  epoch 4 batch 950/1066 loss=0.345186
  epoch 4 batch 1000/1066 loss=0.345268
  epoch 4 batch 1050/1066 loss=0.344141
Epoch 4 | train_loss=0.343785 val_mse=0.222763 val_mae=0.324691 (25.8s)
  EarlyStopping: 1/8
  epoch 5 batch 50/1066 loss=0.292956
  epoch 5 batch 100/1066 loss=0.319142
  epoch 5 batch 150/1066 loss=0.326191
  epoch 5 batch 200/1066 loss=0.327573
  epoch 5 batch 250/1066 loss=0.337525
  epoch 5 batch 300/1066 loss=0.338679
  epoch 5 batch 350/1066 loss=0.339423
  epoch 5 batch 400/1066 loss=0.337844
  epoch 5 batch 450/1066 loss=0.336685
  epoch 5 batch 500/1066 loss=0.337943
  epoch 5 batch 550/1066 loss=0.336268
  epoch 5 batch 600/1066 loss=0.338546
  epoch 5 batch 650/1066 loss=0.338146
  epoch 5 batch 700/1066 loss=0.338437
  epoch 5 batch 750/1066 loss=0.338570
  epoch 5 batch 800/1066 loss=0.336141
  epoch 5 batch 850/1066 loss=0.336708
  epoch 5 batch 900/1066 loss=0.335985
  epoch 5 batch 950/1066 loss=0.335893
  epoch 5 batch 1000/1066 loss=0.335474
  epoch 5 batch 1050/1066 loss=0.335932
