============================================================
data:
  name: weather
  root_path: data/weather
  data_path: weather.csv
  data_kind: custom
  features: M
  target: OT
  freq: t
  n_vars: 21
model:
  name: metatsf_attn
  type: transformer
  d_model: 128
  n_layers: 2
  dropout: 0.1
  channel_mlp_mult: 2
  revin: true
  affine: true
  mixer:
    type: attn
    n_heads: 4
    dropout: 0.1
train:
  name: default
  seq_len: 96
  label_len: 48
  pred_len: 720
  batch_size: 32
  num_workers: 4
  train_epochs: 30
  patience: 8
  learning_rate: 0.001
  loss: mse
  lradj: type3
  weight_decay: 0.0
  gradient_clip: 1.0
  use_amp: true
  gpu_resident_data: false
  matmul_precision: highest
  log_interval: 50
  val_interval: 1
  checkpoint_dir: checkpoints
  use_wandb: false
  wandb_project: vglg-tsf
seed: 2021
device: cuda
project: vglg-tsf
run_name: null
tag: metatsf_tuned

============================================================
Loaded data | train=36072 val=4551 test=9820
Built model: metatsf_attn | params=241,256
  epoch 1 batch 50/1127 loss=0.765047
  epoch 1 batch 100/1127 loss=0.727222
  epoch 1 batch 150/1127 loss=0.711815
  epoch 1 batch 200/1127 loss=0.700727
  epoch 1 batch 250/1127 loss=0.696239
  epoch 1 batch 300/1127 loss=0.694379
  epoch 1 batch 350/1127 loss=0.687174
  epoch 1 batch 400/1127 loss=0.680862
  epoch 1 batch 450/1127 loss=0.677440
  epoch 1 batch 500/1127 loss=0.674406
  epoch 1 batch 550/1127 loss=0.673528
  epoch 1 batch 600/1127 loss=0.670802
  epoch 1 batch 650/1127 loss=0.669390
  epoch 1 batch 700/1127 loss=0.665423
  epoch 1 batch 750/1127 loss=0.662318
  epoch 1 batch 800/1127 loss=0.660162
  epoch 1 batch 850/1127 loss=0.660173
  epoch 1 batch 900/1127 loss=0.658772
  epoch 1 batch 950/1127 loss=0.656276
  epoch 1 batch 1000/1127 loss=0.653531
  epoch 1 batch 1050/1127 loss=0.652004
  epoch 1 batch 1100/1127 loss=0.651554
Epoch 1 | train_loss=0.650344 val_mse=0.693587 val_mae=0.465702 (123.0s)
  Validation improved to 0.693587; saved checkpoint.
  epoch 2 batch 50/1127 loss=0.607670
  epoch 2 batch 100/1127 loss=0.610838
  epoch 2 batch 150/1127 loss=0.612155
  epoch 2 batch 200/1127 loss=0.618679
  epoch 2 batch 250/1127 loss=0.619349
  epoch 2 batch 300/1127 loss=0.619002
  epoch 2 batch 350/1127 loss=0.623064
  epoch 2 batch 400/1127 loss=0.621620
  epoch 2 batch 450/1127 loss=0.618415
  epoch 2 batch 500/1127 loss=0.617392
  epoch 2 batch 550/1127 loss=0.616390
  epoch 2 batch 600/1127 loss=0.617875
  epoch 2 batch 650/1127 loss=0.615932
  epoch 2 batch 700/1127 loss=0.614067
  epoch 2 batch 750/1127 loss=0.612703
  epoch 2 batch 800/1127 loss=0.611222
  epoch 2 batch 850/1127 loss=0.610678
  epoch 2 batch 900/1127 loss=0.610382
  epoch 2 batch 950/1127 loss=0.609910
  epoch 2 batch 1000/1127 loss=0.609279
  epoch 2 batch 1050/1127 loss=0.608417
  epoch 2 batch 1100/1127 loss=0.608264
Epoch 2 | train_loss=0.608436 val_mse=0.688561 val_mae=0.465946 (117.2s)
  Validation improved to 0.688561; saved checkpoint.
  epoch 3 batch 50/1127 loss=0.565829
  epoch 3 batch 100/1127 loss=0.570354
  epoch 3 batch 150/1127 loss=0.582781
  epoch 3 batch 200/1127 loss=0.584506
  epoch 3 batch 250/1127 loss=0.585936
  epoch 3 batch 300/1127 loss=0.586028
  epoch 3 batch 350/1127 loss=0.583765
  epoch 3 batch 400/1127 loss=0.583338
  epoch 3 batch 450/1127 loss=0.584165
  epoch 3 batch 500/1127 loss=0.582847
  epoch 3 batch 550/1127 loss=0.583460
  epoch 3 batch 600/1127 loss=0.583964
  epoch 3 batch 650/1127 loss=0.583878
  epoch 3 batch 700/1127 loss=0.584206
  epoch 3 batch 750/1127 loss=0.585870
  epoch 3 batch 800/1127 loss=0.587467
  epoch 3 batch 850/1127 loss=0.587093
  epoch 3 batch 900/1127 loss=0.587151
  epoch 3 batch 950/1127 loss=0.587502
  epoch 3 batch 1000/1127 loss=0.587640
  epoch 3 batch 1050/1127 loss=0.587903
  epoch 3 batch 1100/1127 loss=0.588069
Epoch 3 | train_loss=0.588342 val_mse=0.693537 val_mae=0.470602 (117.5s)
  EarlyStopping: 1/8
  epoch 4 batch 50/1127 loss=0.577692
  epoch 4 batch 100/1127 loss=0.574686
  epoch 4 batch 150/1127 loss=0.573736
  epoch 4 batch 200/1127 loss=0.575457
  epoch 4 batch 250/1127 loss=0.581498
  epoch 4 batch 300/1127 loss=0.580228
  epoch 4 batch 350/1127 loss=0.578157
  epoch 4 batch 400/1127 loss=0.576750
  epoch 4 batch 450/1127 loss=0.577314
  epoch 4 batch 500/1127 loss=0.575597
  epoch 4 batch 550/1127 loss=0.575168
  epoch 4 batch 600/1127 loss=0.574000
  epoch 4 batch 650/1127 loss=0.573857
  epoch 4 batch 700/1127 loss=0.574522
  epoch 4 batch 750/1127 loss=0.574897
  epoch 4 batch 800/1127 loss=0.573457
  epoch 4 batch 850/1127 loss=0.573281
  epoch 4 batch 900/1127 loss=0.574304
  epoch 4 batch 950/1127 loss=0.575416
  epoch 4 batch 1000/1127 loss=0.574729
  epoch 4 batch 1050/1127 loss=0.575792
  epoch 4 batch 1100/1127 loss=0.575068
Epoch 4 | train_loss=0.575064 val_mse=0.715395 val_mae=0.481178 (117.3s)
  EarlyStopping: 2/8
