============================================================
data:
  name: weather
  root_path: data/weather
  data_path: weather.csv
  data_kind: custom
  features: M
  target: OT
  freq: t
  n_vars: 21
model:
  name: metatsf_mlp
  type: mlp
  d_model: 128
  n_layers: 2
  dropout: 0.1
  channel_mlp_mult: 2
  revin: true
  affine: true
  mixer:
    type: mlp
    hidden_mult: 2
    dropout: 0.1
train:
  name: default
  seq_len: 96
  label_len: 48
  pred_len: 96
  batch_size: 32
  num_workers: 4
  train_epochs: 30
  patience: 8
  learning_rate: 0.001
  loss: mse
  lradj: type3
  weight_decay: 0.001
  gradient_clip: 1.0
  use_amp: true
  gpu_resident_data: false
  matmul_precision: highest
  log_interval: 50
  val_interval: 1
  checkpoint_dir: checkpoints
  use_wandb: false
  wandb_project: vglg-tsf
seed: 2021
device: cuda
project: vglg-tsf
run_name: null
tag: metatsf_tuned2

============================================================
Loaded data | train=36696 val=5175 test=10444
Built model: metatsf_mlp | params=160,504
  epoch 1 batch 50/1146 loss=0.540858
  epoch 1 batch 100/1146 loss=0.490270
  epoch 1 batch 150/1146 loss=0.514318
  epoch 1 batch 200/1146 loss=0.483347
  epoch 1 batch 250/1146 loss=0.474103
  epoch 1 batch 300/1146 loss=0.464330
  epoch 1 batch 350/1146 loss=0.455571
  epoch 1 batch 400/1146 loss=0.447039
  epoch 1 batch 450/1146 loss=0.453099
  epoch 1 batch 500/1146 loss=0.448807
  epoch 1 batch 550/1146 loss=0.447095
  epoch 1 batch 600/1146 loss=0.444087
  epoch 1 batch 650/1146 loss=0.445748
  epoch 1 batch 700/1146 loss=0.439879
  epoch 1 batch 750/1146 loss=0.437624
  epoch 1 batch 800/1146 loss=0.438378
  epoch 1 batch 850/1146 loss=0.442195
  epoch 1 batch 900/1146 loss=0.442863
  epoch 1 batch 950/1146 loss=0.441794
  epoch 1 batch 1000/1146 loss=0.438358
  epoch 1 batch 1050/1146 loss=0.437486
  epoch 1 batch 1100/1146 loss=0.435012
Epoch 1 | train_loss=0.434703 val_mse=0.400374 val_mae=0.275160 (17.4s)
  Validation improved to 0.400374; saved checkpoint.
  epoch 2 batch 50/1146 loss=0.367486
  epoch 2 batch 100/1146 loss=0.449529
  epoch 2 batch 150/1146 loss=0.448003
  epoch 2 batch 200/1146 loss=0.445663
  epoch 2 batch 250/1146 loss=0.428768
  epoch 2 batch 300/1146 loss=0.435133
  epoch 2 batch 350/1146 loss=0.423562
  epoch 2 batch 400/1146 loss=0.419624
  epoch 2 batch 450/1146 loss=0.419172
  epoch 2 batch 500/1146 loss=0.425508
  epoch 2 batch 550/1146 loss=0.421274
  epoch 2 batch 600/1146 loss=0.415042
  epoch 2 batch 650/1146 loss=0.421812
  epoch 2 batch 700/1146 loss=0.421869
  epoch 2 batch 750/1146 loss=0.419337
  epoch 2 batch 800/1146 loss=0.416912
  epoch 2 batch 850/1146 loss=0.414127
  epoch 2 batch 900/1146 loss=0.413833
  epoch 2 batch 950/1146 loss=0.410579
  epoch 2 batch 1000/1146 loss=0.407952
  epoch 2 batch 1050/1146 loss=0.404992
  epoch 2 batch 1100/1146 loss=0.405805
Epoch 2 | train_loss=0.404628 val_mse=0.404370 val_mae=0.281234 (16.1s)
  EarlyStopping: 1/8
  epoch 3 batch 50/1146 loss=0.394899
  epoch 3 batch 100/1146 loss=0.395450
  epoch 3 batch 150/1146 loss=0.369552
  epoch 3 batch 200/1146 loss=0.372905
  epoch 3 batch 250/1146 loss=0.388226
  epoch 3 batch 300/1146 loss=0.394815
  epoch 3 batch 350/1146 loss=0.390274
