============================================================
data:
  name: ettm1
  root_path: data/ETT-small
  data_path: ETTm1.csv
  data_kind: ETTm
  features: M
  target: OT
  freq: t
  n_vars: 7
model:
  name: gru
  type: rnn
  d_model: 128
  e_layers: 2
  dropout: 0.1
  revin: true
  affine: true
train:
  name: default
  seq_len: 96
  label_len: 48
  pred_len: 192
  batch_size: 32
  num_workers: 4
  train_epochs: 10
  patience: 3
  learning_rate: 0.001
  loss: mse
  lradj: type1
  weight_decay: 0.0
  gradient_clip: 1.0
  use_amp: true
  gpu_resident_data: false
  matmul_precision: highest
  log_interval: 50
  val_interval: 1
  checkpoint_dir: checkpoints
  use_wandb: false
  wandb_project: vglg-tsf
seed: 2021
device: cuda
project: vglg-tsf
run_name: null
tag: supp_method_b

============================================================
Loaded data | train=34273 val=11329 test=11329
Built model: gru | params=174,158
  epoch 1 batch 50/1071 loss=0.464232
  epoch 1 batch 100/1071 loss=0.442236
  epoch 1 batch 150/1071 loss=0.427306
  epoch 1 batch 200/1071 loss=0.416546
  epoch 1 batch 250/1071 loss=0.410968
  epoch 1 batch 300/1071 loss=0.407357
  epoch 1 batch 350/1071 loss=0.400670
  epoch 1 batch 400/1071 loss=0.397231
  epoch 1 batch 450/1071 loss=0.392861
  epoch 1 batch 500/1071 loss=0.390131
  epoch 1 batch 550/1071 loss=0.387985
  epoch 1 batch 600/1071 loss=0.385911
  epoch 1 batch 650/1071 loss=0.383389
  epoch 1 batch 700/1071 loss=0.381827
  epoch 1 batch 750/1071 loss=0.379735
  epoch 1 batch 800/1071 loss=0.377569
  epoch 1 batch 850/1071 loss=0.375597
  epoch 1 batch 900/1071 loss=0.373572
  epoch 1 batch 950/1071 loss=0.371083
  epoch 1 batch 1000/1071 loss=0.369020
  epoch 1 batch 1050/1071 loss=0.367373
Epoch 1 | train_loss=0.366636 val_mse=0.526129 val_mae=0.483004 (8.7s)
  Validation improved to 0.526129; saved checkpoint.
  epoch 2 batch 50/1071 loss=0.339312
  epoch 2 batch 100/1071 loss=0.335699
  epoch 2 batch 150/1071 loss=0.332284
  epoch 2 batch 200/1071 loss=0.330748
  epoch 2 batch 250/1071 loss=0.327514
  epoch 2 batch 300/1071 loss=0.328148
  epoch 2 batch 350/1071 loss=0.328807
  epoch 2 batch 400/1071 loss=0.328567
  epoch 2 batch 450/1071 loss=0.327311
  epoch 2 batch 500/1071 loss=0.327444
  epoch 2 batch 550/1071 loss=0.326285
  epoch 2 batch 600/1071 loss=0.324767
  epoch 2 batch 650/1071 loss=0.324171
  epoch 2 batch 700/1071 loss=0.323135
  epoch 2 batch 750/1071 loss=0.322376
  epoch 2 batch 800/1071 loss=0.321779
  epoch 2 batch 850/1071 loss=0.320409
  epoch 2 batch 900/1071 loss=0.320145
  epoch 2 batch 950/1071 loss=0.319484
  epoch 2 batch 1000/1071 loss=0.318816
  epoch 2 batch 1050/1071 loss=0.318713
Epoch 2 | train_loss=0.318301 val_mse=0.526135 val_mae=0.487781 (8.5s)
  EarlyStopping: 1/3
  epoch 3 batch 50/1071 loss=0.304118
  epoch 3 batch 100/1071 loss=0.302994
  epoch 3 batch 150/1071 loss=0.301404
  epoch 3 batch 200/1071 loss=0.298387
  epoch 3 batch 250/1071 loss=0.297898
  epoch 3 batch 300/1071 loss=0.296871
  epoch 3 batch 350/1071 loss=0.296469
  epoch 3 batch 400/1071 loss=0.295587
  epoch 3 batch 450/1071 loss=0.295705
  epoch 3 batch 500/1071 loss=0.296044
  epoch 3 batch 550/1071 loss=0.295493
  epoch 3 batch 600/1071 loss=0.295840
  epoch 3 batch 650/1071 loss=0.295644
  epoch 3 batch 700/1071 loss=0.295686
  epoch 3 batch 750/1071 loss=0.295001
  epoch 3 batch 800/1071 loss=0.294906
  epoch 3 batch 850/1071 loss=0.294863
  epoch 3 batch 900/1071 loss=0.295097
  epoch 3 batch 950/1071 loss=0.295183
  epoch 3 batch 1000/1071 loss=0.294537
  epoch 3 batch 1050/1071 loss=0.294460
Epoch 3 | train_loss=0.294380 val_mse=0.541480 val_mae=0.497757 (8.6s)
  EarlyStopping: 2/3
  epoch 4 batch 50/1071 loss=0.282869
  epoch 4 batch 100/1071 loss=0.280116
  epoch 4 batch 150/1071 loss=0.279455
  epoch 4 batch 200/1071 loss=0.278161
  epoch 4 batch 250/1071 loss=0.278742
  epoch 4 batch 300/1071 loss=0.280021
  epoch 4 batch 350/1071 loss=0.279452
  epoch 4 batch 400/1071 loss=0.280049
  epoch 4 batch 450/1071 loss=0.279750
  epoch 4 batch 500/1071 loss=0.279546
  epoch 4 batch 550/1071 loss=0.280201
  epoch 4 batch 600/1071 loss=0.280079
  epoch 4 batch 650/1071 loss=0.280332
  epoch 4 batch 700/1071 loss=0.279739
  epoch 4 batch 750/1071 loss=0.279746
  epoch 4 batch 800/1071 loss=0.279251
  epoch 4 batch 850/1071 loss=0.279415
  epoch 4 batch 900/1071 loss=0.279216
  epoch 4 batch 950/1071 loss=0.279522
  epoch 4 batch 1000/1071 loss=0.279357
  epoch 4 batch 1050/1071 loss=0.279291
Epoch 4 | train_loss=0.279314 val_mse=0.554895 val_mae=0.502591 (8.6s)
  EarlyStopping: 3/3
Early stopping at epoch 4.

Test | mse=0.386556 mae=0.402637 rmse=0.621736
