============================================================
data:
  name: ettm1
  root_path: data/ETT-small
  data_path: ETTm1.csv
  data_kind: ETTm
  features: M
  target: OT
  freq: t
  n_vars: 7
model:
  name: itransformer
  type: transformer
  d_model: 256
  d_ff: 256
  e_layers: 2
  n_heads: 8
  factor: 1
  dropout: 0.1
  activation: gelu
  use_norm: 1
  output_attention: false
train:
  name: default
  seq_len: 96
  label_len: 48
  pred_len: 720
  batch_size: 32
  num_workers: 4
  train_epochs: 10
  patience: 3
  learning_rate: 0.0005
  loss: mse
  lradj: type1
  weight_decay: 0.0
  gradient_clip: 1.0
  use_amp: true
  gpu_resident_data: false
  matmul_precision: highest
  log_interval: 50
  val_interval: 1
  checkpoint_dir: checkpoints
  use_wandb: false
  wandb_project: vglg-tsf
seed: 2021
device: cuda
project: vglg-tsf
run_name: null
tag: supp_method_b

============================================================
Loaded data | train=33745 val=10801 test=10801
Built model: itransformer | params=1,001,936
  epoch 1 batch 50/1054 loss=0.540935
  epoch 1 batch 100/1054 loss=0.522091
  epoch 1 batch 150/1054 loss=0.506283
  epoch 1 batch 200/1054 loss=0.502111
  epoch 1 batch 250/1054 loss=0.496115
  epoch 1 batch 300/1054 loss=0.495059
  epoch 1 batch 350/1054 loss=0.489906
  epoch 1 batch 400/1054 loss=0.486976
  epoch 1 batch 450/1054 loss=0.485008
  epoch 1 batch 500/1054 loss=0.482801
  epoch 1 batch 550/1054 loss=0.480440
  epoch 1 batch 600/1054 loss=0.479345
  epoch 1 batch 650/1054 loss=0.477805
  epoch 1 batch 700/1054 loss=0.476735
  epoch 1 batch 750/1054 loss=0.474946
  epoch 1 batch 800/1054 loss=0.473853
  epoch 1 batch 850/1054 loss=0.473051
  epoch 1 batch 900/1054 loss=0.471609
  epoch 1 batch 950/1054 loss=0.470165
  epoch 1 batch 1000/1054 loss=0.468804
  epoch 1 batch 1050/1054 loss=0.467642
Epoch 1 | train_loss=0.467602 val_mse=0.980016 val_mae=0.655598 (9.8s)
  Validation improved to 0.980016; saved checkpoint.
  epoch 2 batch 50/1054 loss=0.442420
  epoch 2 batch 100/1054 loss=0.441018
  epoch 2 batch 150/1054 loss=0.439638
  epoch 2 batch 200/1054 loss=0.443161
  epoch 2 batch 250/1054 loss=0.441413
  epoch 2 batch 300/1054 loss=0.441517
  epoch 2 batch 350/1054 loss=0.441923
  epoch 2 batch 400/1054 loss=0.442042
  epoch 2 batch 450/1054 loss=0.441209
  epoch 2 batch 500/1054 loss=0.440472
  epoch 2 batch 550/1054 loss=0.439929
  epoch 2 batch 600/1054 loss=0.438449
  epoch 2 batch 650/1054 loss=0.437545
  epoch 2 batch 700/1054 loss=0.436893
  epoch 2 batch 750/1054 loss=0.436582
  epoch 2 batch 800/1054 loss=0.436731
  epoch 2 batch 850/1054 loss=0.436957
  epoch 2 batch 900/1054 loss=0.436131
  epoch 2 batch 950/1054 loss=0.435459
  epoch 2 batch 1000/1054 loss=0.434906
  epoch 2 batch 1050/1054 loss=0.434118
Epoch 2 | train_loss=0.434128 val_mse=0.971940 val_mae=0.655940 (9.7s)
  Validation improved to 0.971940; saved checkpoint.
  epoch 3 batch 50/1054 loss=0.402121
  epoch 3 batch 100/1054 loss=0.407721
  epoch 3 batch 150/1054 loss=0.409959
  epoch 3 batch 200/1054 loss=0.408201
  epoch 3 batch 250/1054 loss=0.407829
  epoch 3 batch 300/1054 loss=0.407660
  epoch 3 batch 350/1054 loss=0.407126
  epoch 3 batch 400/1054 loss=0.407346
  epoch 3 batch 450/1054 loss=0.407338
  epoch 3 batch 500/1054 loss=0.407468
  epoch 3 batch 550/1054 loss=0.407001
  epoch 3 batch 600/1054 loss=0.405821
  epoch 3 batch 650/1054 loss=0.405949
  epoch 3 batch 700/1054 loss=0.406065
  epoch 3 batch 750/1054 loss=0.405649
  epoch 3 batch 800/1054 loss=0.405417
  epoch 3 batch 850/1054 loss=0.405340
  epoch 3 batch 900/1054 loss=0.405098
  epoch 3 batch 950/1054 loss=0.404360
  epoch 3 batch 1000/1054 loss=0.404069
  epoch 3 batch 1050/1054 loss=0.403526
Epoch 3 | train_loss=0.403393 val_mse=0.961251 val_mae=0.653287 (9.4s)
  Validation improved to 0.961251; saved checkpoint.
  epoch 4 batch 50/1054 loss=0.382305
  epoch 4 batch 100/1054 loss=0.379607
  epoch 4 batch 150/1054 loss=0.380188
  epoch 4 batch 200/1054 loss=0.380819
  epoch 4 batch 250/1054 loss=0.382006
  epoch 4 batch 300/1054 loss=0.383553
  epoch 4 batch 350/1054 loss=0.384030
  epoch 4 batch 400/1054 loss=0.382911
  epoch 4 batch 450/1054 loss=0.382583
  epoch 4 batch 500/1054 loss=0.383704
  epoch 4 batch 550/1054 loss=0.384080
  epoch 4 batch 600/1054 loss=0.383992
  epoch 4 batch 650/1054 loss=0.383449
  epoch 4 batch 700/1054 loss=0.383261
  epoch 4 batch 750/1054 loss=0.383292
  epoch 4 batch 800/1054 loss=0.383329
  epoch 4 batch 850/1054 loss=0.383655
  epoch 4 batch 900/1054 loss=0.383718
  epoch 4 batch 950/1054 loss=0.383894
  epoch 4 batch 1000/1054 loss=0.383688
  epoch 4 batch 1050/1054 loss=0.383790
Epoch 4 | train_loss=0.383664 val_mse=0.955752 val_mae=0.649933 (9.6s)
  Validation improved to 0.955752; saved checkpoint.
  epoch 5 batch 50/1054 loss=0.377733
  epoch 5 batch 100/1054 loss=0.380230
  epoch 5 batch 150/1054 loss=0.379840
  epoch 5 batch 200/1054 loss=0.378612
  epoch 5 batch 250/1054 loss=0.376856
  epoch 5 batch 300/1054 loss=0.376428
  epoch 5 batch 350/1054 loss=0.376935
  epoch 5 batch 400/1054 loss=0.375908
  epoch 5 batch 450/1054 loss=0.375821
  epoch 5 batch 500/1054 loss=0.374726
  epoch 5 batch 550/1054 loss=0.373803
  epoch 5 batch 600/1054 loss=0.374401
  epoch 5 batch 650/1054 loss=0.374140
  epoch 5 batch 700/1054 loss=0.374385
  epoch 5 batch 750/1054 loss=0.374397
  epoch 5 batch 800/1054 loss=0.374089
  epoch 5 batch 850/1054 loss=0.373816
  epoch 5 batch 900/1054 loss=0.373641
  epoch 5 batch 950/1054 loss=0.373639
  epoch 5 batch 1000/1054 loss=0.373750
  epoch 5 batch 1050/1054 loss=0.373392
Epoch 5 | train_loss=0.373398 val_mse=0.961286 val_mae=0.652552 (9.5s)
  EarlyStopping: 1/3
  epoch 6 batch 50/1054 loss=0.373919
  epoch 6 batch 100/1054 loss=0.374434
  epoch 6 batch 150/1054 loss=0.374206
  epoch 6 batch 200/1054 loss=0.373043
  epoch 6 batch 250/1054 loss=0.370507
  epoch 6 batch 300/1054 loss=0.371891
  epoch 6 batch 350/1054 loss=0.372411
  epoch 6 batch 400/1054 loss=0.371091
  epoch 6 batch 450/1054 loss=0.370737
  epoch 6 batch 500/1054 loss=0.370221
  epoch 6 batch 550/1054 loss=0.369848
  epoch 6 batch 600/1054 loss=0.369294
  epoch 6 batch 650/1054 loss=0.368676
  epoch 6 batch 700/1054 loss=0.368424
  epoch 6 batch 750/1054 loss=0.368546
  epoch 6 batch 800/1054 loss=0.368384
  epoch 6 batch 850/1054 loss=0.368525
  epoch 6 batch 900/1054 loss=0.368869
  epoch 6 batch 950/1054 loss=0.368894
  epoch 6 batch 1000/1054 loss=0.368593
  epoch 6 batch 1050/1054 loss=0.368551
Epoch 6 | train_loss=0.368424 val_mse=0.960785 val_mae=0.652997 (9.6s)
  EarlyStopping: 2/3
  epoch 7 batch 50/1054 loss=0.361537
  epoch 7 batch 100/1054 loss=0.361748
  epoch 7 batch 150/1054 loss=0.362542
  epoch 7 batch 200/1054 loss=0.362589
  epoch 7 batch 250/1054 loss=0.364169
  epoch 7 batch 300/1054 loss=0.365788
  epoch 7 batch 350/1054 loss=0.366104
  epoch 7 batch 400/1054 loss=0.366265
  epoch 7 batch 450/1054 loss=0.366308
  epoch 7 batch 500/1054 loss=0.368112
  epoch 7 batch 550/1054 loss=0.368192
  epoch 7 batch 600/1054 loss=0.367463
  epoch 7 batch 650/1054 loss=0.367303
  epoch 7 batch 700/1054 loss=0.367438
  epoch 7 batch 750/1054 loss=0.367063
  epoch 7 batch 800/1054 loss=0.366733
  epoch 7 batch 850/1054 loss=0.366491
  epoch 7 batch 900/1054 loss=0.366607
  epoch 7 batch 950/1054 loss=0.366445
  epoch 7 batch 1000/1054 loss=0.366201
  epoch 7 batch 1050/1054 loss=0.366164
Epoch 7 | train_loss=0.366210 val_mse=0.960609 val_mae=0.652852 (9.7s)
  EarlyStopping: 3/3
Early stopping at epoch 7.

Test | mse=0.494805 mae=0.462748 rmse=0.703424
