============================================================
data:
  name: ettm1
  root_path: data/ETT-small
  data_path: ETTm1.csv
  data_kind: ETTm
  features: M
  target: OT
  freq: t
  n_vars: 7
model:
  name: lstm
  type: rnn
  d_model: 128
  e_layers: 2
  dropout: 0.1
  revin: true
  affine: true
train:
  name: default
  seq_len: 96
  label_len: 48
  pred_len: 336
  batch_size: 32
  num_workers: 4
  train_epochs: 10
  patience: 3
  learning_rate: 0.001
  loss: mse
  lradj: type1
  weight_decay: 0.0
  gradient_clip: 1.0
  use_amp: true
  gpu_resident_data: false
  matmul_precision: highest
  log_interval: 50
  val_interval: 1
  checkpoint_dir: checkpoints
  use_wandb: false
  wandb_project: vglg-tsf
seed: 2021
device: cuda
project: vglg-tsf
run_name: null
tag: supp_method_b

============================================================
Loaded data | train=34129 val=11185 test=11185
Built model: lstm | params=242,526
  epoch 1 batch 50/1066 loss=0.524670
  epoch 1 batch 100/1066 loss=0.500222
  epoch 1 batch 150/1066 loss=0.478044
  epoch 1 batch 200/1066 loss=0.467400
  epoch 1 batch 250/1066 loss=0.462102
  epoch 1 batch 300/1066 loss=0.457248
  epoch 1 batch 350/1066 loss=0.452770
  epoch 1 batch 400/1066 loss=0.448311
  epoch 1 batch 450/1066 loss=0.445746
  epoch 1 batch 500/1066 loss=0.443569
  epoch 1 batch 550/1066 loss=0.441851
  epoch 1 batch 600/1066 loss=0.439068
  epoch 1 batch 650/1066 loss=0.436384
  epoch 1 batch 700/1066 loss=0.434725
  epoch 1 batch 750/1066 loss=0.433427
  epoch 1 batch 800/1066 loss=0.432774
  epoch 1 batch 850/1066 loss=0.431100
  epoch 1 batch 900/1066 loss=0.429483
  epoch 1 batch 950/1066 loss=0.428293
  epoch 1 batch 1000/1066 loss=0.427548
  epoch 1 batch 1050/1066 loss=0.426113
Epoch 1 | train_loss=0.426000 val_mse=0.676648 val_mae=0.549341 (8.7s)
  Validation improved to 0.676648; saved checkpoint.
  epoch 2 batch 50/1066 loss=0.396058
  epoch 2 batch 100/1066 loss=0.393284
  epoch 2 batch 150/1066 loss=0.395421
  epoch 2 batch 200/1066 loss=0.396233
  epoch 2 batch 250/1066 loss=0.394580
  epoch 2 batch 300/1066 loss=0.394562
  epoch 2 batch 350/1066 loss=0.393754
  epoch 2 batch 400/1066 loss=0.391224
  epoch 2 batch 450/1066 loss=0.390515
  epoch 2 batch 500/1066 loss=0.390376
  epoch 2 batch 550/1066 loss=0.389007
  epoch 2 batch 600/1066 loss=0.387739
  epoch 2 batch 650/1066 loss=0.386875
  epoch 2 batch 700/1066 loss=0.387065
  epoch 2 batch 750/1066 loss=0.387037
  epoch 2 batch 800/1066 loss=0.386175
  epoch 2 batch 850/1066 loss=0.385464
  epoch 2 batch 900/1066 loss=0.385194
  epoch 2 batch 950/1066 loss=0.384532
  epoch 2 batch 1000/1066 loss=0.384322
  epoch 2 batch 1050/1066 loss=0.383846
Epoch 2 | train_loss=0.383905 val_mse=0.675024 val_mae=0.553108 (8.9s)
  Validation improved to 0.675024; saved checkpoint.
  epoch 3 batch 50/1066 loss=0.362893
  epoch 3 batch 100/1066 loss=0.362758
  epoch 3 batch 150/1066 loss=0.368556
  epoch 3 batch 200/1066 loss=0.366500
  epoch 3 batch 250/1066 loss=0.365428
  epoch 3 batch 300/1066 loss=0.364606
  epoch 3 batch 350/1066 loss=0.365149
  epoch 3 batch 400/1066 loss=0.364403
