============================================================
data:
  name: ettm1
  root_path: data/ETT-small
  data_path: ETTm1.csv
  data_kind: ETTm
  features: M
  target: OT
  freq: t
  n_vars: 7
model:
  name: moderntcn
  type: cnn
  patch_size: 16
  patch_stride: 8
  ffn_ratio: 1
  num_blocks: 1
  large_size: 31
  small_size: 5
  d_model: 64
  backbone_dropout: 0.1
  head_dropout: 0.1
  revin: true
  affine: false
train:
  name: default
  seq_len: 96
  label_len: 48
  pred_len: 192
  batch_size: 32
  num_workers: 4
  train_epochs: 50
  patience: 10
  learning_rate: 0.001
  loss: mse
  lradj: type3
  weight_decay: 0.0
  gradient_clip: 1.0
  use_amp: true
  gpu_resident_data: false
  matmul_precision: highest
  log_interval: 50
  val_interval: 1
  checkpoint_dir: checkpoints
  use_wandb: false
  wandb_project: vglg-tsf
seed: 2021
device: cuda
project: vglg-tsf
run_name: null
tag: supp_method_b

============================================================
Loaded data | train=34273 val=11329 test=11329
Built model: moderntcn | params=287,040
  epoch 1 batch 50/1071 loss=0.419658
  epoch 1 batch 100/1071 loss=0.399947
  epoch 1 batch 150/1071 loss=0.388709
  epoch 1 batch 200/1071 loss=0.379077
  epoch 1 batch 250/1071 loss=0.369932
  epoch 1 batch 300/1071 loss=0.365262
  epoch 1 batch 350/1071 loss=0.359941
  epoch 1 batch 400/1071 loss=0.357137
  epoch 1 batch 450/1071 loss=0.355125
  epoch 1 batch 500/1071 loss=0.353548
  epoch 1 batch 550/1071 loss=0.351726
  epoch 1 batch 600/1071 loss=0.349082
  epoch 1 batch 650/1071 loss=0.346806
  epoch 1 batch 700/1071 loss=0.344699
  epoch 1 batch 750/1071 loss=0.343172
  epoch 1 batch 800/1071 loss=0.342000
  epoch 1 batch 850/1071 loss=0.340398
  epoch 1 batch 900/1071 loss=0.338622
  epoch 1 batch 950/1071 loss=0.336777
  epoch 1 batch 1000/1071 loss=0.335499
  epoch 1 batch 1050/1071 loss=0.334003
Epoch 1 | train_loss=0.333495 val_mse=0.504987 val_mae=0.473082 (13.5s)
  Validation improved to 0.504987; saved checkpoint.
  epoch 2 batch 50/1071 loss=0.292424
  epoch 2 batch 100/1071 loss=0.296318
  epoch 2 batch 150/1071 loss=0.293324
  epoch 2 batch 200/1071 loss=0.294900
  epoch 2 batch 250/1071 loss=0.294878
  epoch 2 batch 300/1071 loss=0.295630
  epoch 2 batch 350/1071 loss=0.294133
  epoch 2 batch 400/1071 loss=0.293764
  epoch 2 batch 450/1071 loss=0.291962
  epoch 2 batch 500/1071 loss=0.291260
  epoch 2 batch 550/1071 loss=0.290982
  epoch 2 batch 600/1071 loss=0.289857
  epoch 2 batch 650/1071 loss=0.288779
  epoch 2 batch 700/1071 loss=0.287820
  epoch 2 batch 750/1071 loss=0.286733
  epoch 2 batch 800/1071 loss=0.286099
  epoch 2 batch 850/1071 loss=0.285575
  epoch 2 batch 900/1071 loss=0.284879
  epoch 2 batch 950/1071 loss=0.284060
  epoch 2 batch 1000/1071 loss=0.283177
  epoch 2 batch 1050/1071 loss=0.282559
Epoch 2 | train_loss=0.282241 val_mse=0.548745 val_mae=0.492887 (10.9s)
  EarlyStopping: 1/10
  epoch 3 batch 50/1071 loss=0.264583
  epoch 3 batch 100/1071 loss=0.259452
  epoch 3 batch 150/1071 loss=0.258682
  epoch 3 batch 200/1071 loss=0.259134
  epoch 3 batch 250/1071 loss=0.259779
  epoch 3 batch 300/1071 loss=0.258724
  epoch 3 batch 350/1071 loss=0.258139
  epoch 3 batch 400/1071 loss=0.258282
  epoch 3 batch 450/1071 loss=0.258212
