============================================================
data:
  name: ettm1
  root_path: data/ETT-small
  data_path: ETTm1.csv
  data_kind: ETTm
  features: M
  target: OT
  freq: t
  n_vars: 7
model:
  name: segrnn
  type: rnn
  d_model: 512
  seg_len: 48
  dropout: 0.5
train:
  name: default
  seq_len: 96
  label_len: 48
  pred_len: 720
  batch_size: 32
  num_workers: 4
  train_epochs: 30
  patience: 8
  learning_rate: 0.001
  loss: mse
  lradj: type3
  weight_decay: 0.0
  gradient_clip: 1.0
  use_amp: true
  gpu_resident_data: false
  matmul_precision: highest
  log_interval: 50
  val_interval: 1
  checkpoint_dir: checkpoints
  use_wandb: false
  wandb_project: vglg-tsf
seed: 2021
device: cuda
project: vglg-tsf
run_name: null
tag: supp_method_b

============================================================
Loaded data | train=33745 val=10801 test=10801
Built model: segrnn | params=1,631,280
  epoch 1 batch 50/1054 loss=0.645650
  epoch 1 batch 100/1054 loss=0.582036
  epoch 1 batch 150/1054 loss=0.549405
  epoch 1 batch 200/1054 loss=0.531031
  epoch 1 batch 250/1054 loss=0.519450
  epoch 1 batch 300/1054 loss=0.510218
  epoch 1 batch 350/1054 loss=0.503004
  epoch 1 batch 400/1054 loss=0.497155
  epoch 1 batch 450/1054 loss=0.493264
  epoch 1 batch 500/1054 loss=0.489180
  epoch 1 batch 550/1054 loss=0.485505
  epoch 1 batch 600/1054 loss=0.482508
  epoch 1 batch 650/1054 loss=0.479770
  epoch 1 batch 700/1054 loss=0.477607
  epoch 1 batch 750/1054 loss=0.475196
  epoch 1 batch 800/1054 loss=0.473888
  epoch 1 batch 850/1054 loss=0.472381
  epoch 1 batch 900/1054 loss=0.471159
  epoch 1 batch 950/1054 loss=0.469531
  epoch 1 batch 1000/1054 loss=0.468452
  epoch 1 batch 1050/1054 loss=0.467645
Epoch 1 | train_loss=0.467616 val_mse=0.989027 val_mae=0.664524 (14.2s)
  Validation improved to 0.989027; saved checkpoint.
  epoch 2 batch 50/1054 loss=0.442328
  epoch 2 batch 100/1054 loss=0.447099
  epoch 2 batch 150/1054 loss=0.442033
  epoch 2 batch 200/1054 loss=0.439328
  epoch 2 batch 250/1054 loss=0.438631
  epoch 2 batch 300/1054 loss=0.438455
  epoch 2 batch 350/1054 loss=0.439976
  epoch 2 batch 400/1054 loss=0.441156
  epoch 2 batch 450/1054 loss=0.438571
  epoch 2 batch 500/1054 loss=0.438244
  epoch 2 batch 550/1054 loss=0.437399
  epoch 2 batch 600/1054 loss=0.437692
  epoch 2 batch 650/1054 loss=0.437498
  epoch 2 batch 700/1054 loss=0.436953
  epoch 2 batch 750/1054 loss=0.436550
  epoch 2 batch 800/1054 loss=0.436338
  epoch 2 batch 850/1054 loss=0.436505
  epoch 2 batch 900/1054 loss=0.436131
  epoch 2 batch 950/1054 loss=0.435468
  epoch 2 batch 1000/1054 loss=0.435004
  epoch 2 batch 1050/1054 loss=0.434435
Epoch 2 | train_loss=0.434333 val_mse=0.995477 val_mae=0.661429 (14.0s)
  EarlyStopping: 1/8
  epoch 3 batch 50/1054 loss=0.422051
  epoch 3 batch 100/1054 loss=0.421024
  epoch 3 batch 150/1054 loss=0.423970
  epoch 3 batch 200/1054 loss=0.423815
  epoch 3 batch 250/1054 loss=0.419984
  epoch 3 batch 300/1054 loss=0.420572
  epoch 3 batch 350/1054 loss=0.421507
  epoch 3 batch 400/1054 loss=0.421383
  epoch 3 batch 450/1054 loss=0.421650
  epoch 3 batch 500/1054 loss=0.421445
  epoch 3 batch 550/1054 loss=0.421776
  epoch 3 batch 600/1054 loss=0.421526
  epoch 3 batch 650/1054 loss=0.421805
  epoch 3 batch 700/1054 loss=0.421543
  epoch 3 batch 750/1054 loss=0.421704
  epoch 3 batch 800/1054 loss=0.421752
  epoch 3 batch 850/1054 loss=0.421227
  epoch 3 batch 900/1054 loss=0.421039
  epoch 3 batch 950/1054 loss=0.420953
  epoch 3 batch 1000/1054 loss=0.420742
  epoch 3 batch 1050/1054 loss=0.420199
Epoch 3 | train_loss=0.420104 val_mse=1.023451 val_mae=0.659749 (14.8s)
  EarlyStopping: 2/8
  epoch 4 batch 50/1054 loss=0.412320
  epoch 4 batch 100/1054 loss=0.412866
  epoch 4 batch 150/1054 loss=0.414310
  epoch 4 batch 200/1054 loss=0.410344
  epoch 4 batch 250/1054 loss=0.408275
  epoch 4 batch 300/1054 loss=0.408940
  epoch 4 batch 350/1054 loss=0.408879
  epoch 4 batch 400/1054 loss=0.408210
  epoch 4 batch 450/1054 loss=0.408131
  epoch 4 batch 500/1054 loss=0.407987
  epoch 4 batch 550/1054 loss=0.408318
  epoch 4 batch 600/1054 loss=0.408286
  epoch 4 batch 650/1054 loss=0.409281
