============================================================
data:
  name: ettm2
  root_path: data/ETT-small
  data_path: ETTm2.csv
  data_kind: ETTm
  features: M
  target: OT
  freq: t
  n_vars: 7
model:
  name: patchtst
  type: transformer
  d_model: 128
  d_ff: 256
  e_layers: 3
  n_heads: 16
  patch_len: 16
  stride: 8
  dropout: 0.2
  fc_dropout: 0.2
  head_dropout: 0.0
  activation: gelu
  revin: 1
  affine: 0
  subtract_last: 0
  decomposition: 0
  kernel_size: 25
  individual: 0
train:
  name: default
  seq_len: 96
  label_len: 48
  pred_len: 192
  batch_size: 32
  num_workers: 4
  train_epochs: 30
  patience: 8
  learning_rate: 0.0001
  loss: mse
  lradj: type3
  weight_decay: 0.0
  gradient_clip: 1.0
  use_amp: true
  gpu_resident_data: false
  matmul_precision: highest
  log_interval: 50
  val_interval: 1
  checkpoint_dir: checkpoints
  use_wandb: false
  wandb_project: vglg-tsf
seed: 2021
device: cuda
project: vglg-tsf
run_name: null
tag: supp_method_b

============================================================
Loaded data | train=34273 val=11329 test=11329
Built model: patchtst | params=694,848
  epoch 1 batch 50/1071 loss=0.348026
  epoch 1 batch 100/1071 loss=0.355399
  epoch 1 batch 150/1071 loss=0.357662
  epoch 1 batch 200/1071 loss=0.358583
  epoch 1 batch 250/1071 loss=0.352702
  epoch 1 batch 300/1071 loss=0.343974
  epoch 1 batch 350/1071 loss=0.342153
  epoch 1 batch 400/1071 loss=0.339724
  epoch 1 batch 450/1071 loss=0.336675
  epoch 1 batch 500/1071 loss=0.338190
  epoch 1 batch 550/1071 loss=0.340726
  epoch 1 batch 600/1071 loss=0.342870
  epoch 1 batch 650/1071 loss=0.343113
  epoch 1 batch 700/1071 loss=0.341675
  epoch 1 batch 750/1071 loss=0.340448
  epoch 1 batch 800/1071 loss=0.338562
  epoch 1 batch 850/1071 loss=0.338456
  epoch 1 batch 900/1071 loss=0.340615
  epoch 1 batch 950/1071 loss=0.338414
  epoch 1 batch 1000/1071 loss=0.339120
  epoch 1 batch 1050/1071 loss=0.338866
Epoch 1 | train_loss=0.338823 val_mse=0.173963 val_mae=0.287475 (28.2s)
  Validation improved to 0.173963; saved checkpoint.
  epoch 2 batch 50/1071 loss=0.360502
  epoch 2 batch 100/1071 loss=0.351444
  epoch 2 batch 150/1071 loss=0.341285
  epoch 2 batch 200/1071 loss=0.338419
  epoch 2 batch 250/1071 loss=0.331231
  epoch 2 batch 300/1071 loss=0.331823
  epoch 2 batch 350/1071 loss=0.330942
  epoch 2 batch 400/1071 loss=0.327427
  epoch 2 batch 450/1071 loss=0.322338
  epoch 2 batch 500/1071 loss=0.324373
  epoch 2 batch 550/1071 loss=0.323487
  epoch 2 batch 600/1071 loss=0.323822
  epoch 2 batch 650/1071 loss=0.323635
  epoch 2 batch 700/1071 loss=0.323821
  epoch 2 batch 750/1071 loss=0.322157
  epoch 2 batch 800/1071 loss=0.322781
  epoch 2 batch 850/1071 loss=0.325348
  epoch 2 batch 900/1071 loss=0.326577
  epoch 2 batch 950/1071 loss=0.324601
  epoch 2 batch 1000/1071 loss=0.324727
  epoch 2 batch 1050/1071 loss=0.323830
Epoch 2 | train_loss=0.324115 val_mse=0.172033 val_mae=0.283752 (28.9s)
  Validation improved to 0.172033; saved checkpoint.
  epoch 3 batch 50/1071 loss=0.355969
  epoch 3 batch 100/1071 loss=0.318600
  epoch 3 batch 150/1071 loss=0.326367
  epoch 3 batch 200/1071 loss=0.320923
  epoch 3 batch 250/1071 loss=0.327429
  epoch 3 batch 300/1071 loss=0.317349
  epoch 3 batch 350/1071 loss=0.322489
  epoch 3 batch 400/1071 loss=0.322521
  epoch 3 batch 450/1071 loss=0.320526
  epoch 3 batch 500/1071 loss=0.321922
  epoch 3 batch 550/1071 loss=0.324015
  epoch 3 batch 600/1071 loss=0.321766
  epoch 3 batch 650/1071 loss=0.321258
  epoch 3 batch 700/1071 loss=0.319942
  epoch 3 batch 750/1071 loss=0.319752
  epoch 3 batch 800/1071 loss=0.318950
  epoch 3 batch 850/1071 loss=0.319515
  epoch 3 batch 900/1071 loss=0.319149
  epoch 3 batch 950/1071 loss=0.320054
  epoch 3 batch 1000/1071 loss=0.317994
  epoch 3 batch 1050/1071 loss=0.319258
Epoch 3 | train_loss=0.319617 val_mse=0.171673 val_mae=0.283118 (29.8s)
  Validation improved to 0.171673; saved checkpoint.
  epoch 4 batch 50/1071 loss=0.353697
  epoch 4 batch 100/1071 loss=0.325406
  epoch 4 batch 150/1071 loss=0.316145
  epoch 4 batch 200/1071 loss=0.318687
  epoch 4 batch 250/1071 loss=0.316218
  epoch 4 batch 300/1071 loss=0.315466
  epoch 4 batch 350/1071 loss=0.317144
  epoch 4 batch 400/1071 loss=0.316805
  epoch 4 batch 450/1071 loss=0.314249
  epoch 4 batch 500/1071 loss=0.316516
  epoch 4 batch 550/1071 loss=0.317225
  epoch 4 batch 600/1071 loss=0.315653
  epoch 4 batch 650/1071 loss=0.315153
  epoch 4 batch 700/1071 loss=0.316262
  epoch 4 batch 750/1071 loss=0.317950
  epoch 4 batch 800/1071 loss=0.316957
  epoch 4 batch 850/1071 loss=0.316703
  epoch 4 batch 900/1071 loss=0.316278
  epoch 4 batch 950/1071 loss=0.315315
  epoch 4 batch 1000/1071 loss=0.315717
  epoch 4 batch 1050/1071 loss=0.315935
Epoch 4 | train_loss=0.316401 val_mse=0.172125 val_mae=0.284429 (29.7s)
  EarlyStopping: 1/8
  epoch 5 batch 50/1071 loss=0.342247
  epoch 5 batch 100/1071 loss=0.328761
  epoch 5 batch 150/1071 loss=0.316959
  epoch 5 batch 200/1071 loss=0.312308
  epoch 5 batch 250/1071 loss=0.315827
  epoch 5 batch 300/1071 loss=0.308468
  epoch 5 batch 350/1071 loss=0.311013
  epoch 5 batch 400/1071 loss=0.306573
  epoch 5 batch 450/1071 loss=0.309293
  epoch 5 batch 500/1071 loss=0.313762
  epoch 5 batch 550/1071 loss=0.311839
  epoch 5 batch 600/1071 loss=0.311211
  epoch 5 batch 650/1071 loss=0.312268
  epoch 5 batch 700/1071 loss=0.313059
  epoch 5 batch 750/1071 loss=0.312496
  epoch 5 batch 800/1071 loss=0.313875
  epoch 5 batch 850/1071 loss=0.314278
  epoch 5 batch 900/1071 loss=0.313174
  epoch 5 batch 950/1071 loss=0.314422
  epoch 5 batch 1000/1071 loss=0.314028
  epoch 5 batch 1050/1071 loss=0.313964
Epoch 5 | train_loss=0.312756 val_mse=0.171272 val_mae=0.284118 (29.6s)
  Validation improved to 0.171272; saved checkpoint.
  epoch 6 batch 50/1071 loss=0.318244
  epoch 6 batch 100/1071 loss=0.318636
  epoch 6 batch 150/1071 loss=0.309029
  epoch 6 batch 200/1071 loss=0.311817
  epoch 6 batch 250/1071 loss=0.309910
  epoch 6 batch 300/1071 loss=0.315628
  epoch 6 batch 350/1071 loss=0.318575
  epoch 6 batch 400/1071 loss=0.312660
  epoch 6 batch 450/1071 loss=0.311472
  epoch 6 batch 500/1071 loss=0.310388
  epoch 6 batch 550/1071 loss=0.311832
  epoch 6 batch 600/1071 loss=0.312177
  epoch 6 batch 650/1071 loss=0.312918
  epoch 6 batch 700/1071 loss=0.312630
  epoch 6 batch 750/1071 loss=0.312140
  epoch 6 batch 800/1071 loss=0.312537
  epoch 6 batch 850/1071 loss=0.311660
  epoch 6 batch 900/1071 loss=0.310445
  epoch 6 batch 950/1071 loss=0.310282
  epoch 6 batch 1000/1071 loss=0.309731
  epoch 6 batch 1050/1071 loss=0.309589
Epoch 6 | train_loss=0.310579 val_mse=0.171612 val_mae=0.284257 (29.4s)
  EarlyStopping: 1/8
  epoch 7 batch 50/1071 loss=0.336416
  epoch 7 batch 100/1071 loss=0.321366
  epoch 7 batch 150/1071 loss=0.317162
  epoch 7 batch 200/1071 loss=0.321373
  epoch 7 batch 250/1071 loss=0.314923
  epoch 7 batch 300/1071 loss=0.314263
  epoch 7 batch 350/1071 loss=0.308546
  epoch 7 batch 400/1071 loss=0.307927
  epoch 7 batch 450/1071 loss=0.310636
  epoch 7 batch 500/1071 loss=0.306665
  epoch 7 batch 550/1071 loss=0.308446
  epoch 7 batch 600/1071 loss=0.308259
  epoch 7 batch 650/1071 loss=0.308940
  epoch 7 batch 700/1071 loss=0.309434
  epoch 7 batch 750/1071 loss=0.307503
  epoch 7 batch 800/1071 loss=0.306682
  epoch 7 batch 850/1071 loss=0.305489
  epoch 7 batch 900/1071 loss=0.304975
  epoch 7 batch 950/1071 loss=0.306276
  epoch 7 batch 1000/1071 loss=0.305974
  epoch 7 batch 1050/1071 loss=0.307359
Epoch 7 | train_loss=0.307411 val_mse=0.170523 val_mae=0.281910 (29.5s)
  Validation improved to 0.170523; saved checkpoint.
  epoch 8 batch 50/1071 loss=0.286225
  epoch 8 batch 100/1071 loss=0.293652
  epoch 8 batch 150/1071 loss=0.299369
  epoch 8 batch 200/1071 loss=0.305473
  epoch 8 batch 250/1071 loss=0.304225
  epoch 8 batch 300/1071 loss=0.311679
  epoch 8 batch 350/1071 loss=0.309848
  epoch 8 batch 400/1071 loss=0.307026
  epoch 8 batch 450/1071 loss=0.308329
  epoch 8 batch 500/1071 loss=0.307348
  epoch 8 batch 550/1071 loss=0.308863
  epoch 8 batch 600/1071 loss=0.307406
  epoch 8 batch 650/1071 loss=0.305280
  epoch 8 batch 700/1071 loss=0.304809
  epoch 8 batch 750/1071 loss=0.302760
  epoch 8 batch 800/1071 loss=0.301694
  epoch 8 batch 850/1071 loss=0.303192
  epoch 8 batch 900/1071 loss=0.303254
  epoch 8 batch 950/1071 loss=0.303629
  epoch 8 batch 1000/1071 loss=0.305415
  epoch 8 batch 1050/1071 loss=0.304857
Epoch 8 | train_loss=0.304649 val_mse=0.170508 val_mae=0.282201 (30.8s)
  Validation improved to 0.170508; saved checkpoint.
  epoch 9 batch 50/1071 loss=0.296251
  epoch 9 batch 100/1071 loss=0.285656
  epoch 9 batch 150/1071 loss=0.299997
  epoch 9 batch 200/1071 loss=0.291637
  epoch 9 batch 250/1071 loss=0.295703
  epoch 9 batch 300/1071 loss=0.297128
  epoch 9 batch 350/1071 loss=0.293274
  epoch 9 batch 400/1071 loss=0.293296
  epoch 9 batch 450/1071 loss=0.294409
  epoch 9 batch 500/1071 loss=0.296095
  epoch 9 batch 550/1071 loss=0.299660
  epoch 9 batch 600/1071 loss=0.298552
  epoch 9 batch 650/1071 loss=0.299114
  epoch 9 batch 700/1071 loss=0.299385
  epoch 9 batch 750/1071 loss=0.301751
  epoch 9 batch 800/1071 loss=0.300876
  epoch 9 batch 850/1071 loss=0.299579
  epoch 9 batch 900/1071 loss=0.301502
  epoch 9 batch 950/1071 loss=0.300245
  epoch 9 batch 1000/1071 loss=0.301185
  epoch 9 batch 1050/1071 loss=0.300143
Epoch 9 | train_loss=0.301223 val_mse=0.172841 val_mae=0.284643 (29.1s)
  EarlyStopping: 1/8
  epoch 10 batch 50/1071 loss=0.280795
  epoch 10 batch 100/1071 loss=0.288539
  epoch 10 batch 150/1071 loss=0.291684
  epoch 10 batch 200/1071 loss=0.301002
  epoch 10 batch 250/1071 loss=0.304094
  epoch 10 batch 300/1071 loss=0.304541
  epoch 10 batch 350/1071 loss=0.308453
  epoch 10 batch 400/1071 loss=0.309187
  epoch 10 batch 450/1071 loss=0.307199
  epoch 10 batch 500/1071 loss=0.305738
  epoch 10 batch 550/1071 loss=0.305562
  epoch 10 batch 600/1071 loss=0.302037
  epoch 10 batch 650/1071 loss=0.301519
  epoch 10 batch 700/1071 loss=0.300130
  epoch 10 batch 750/1071 loss=0.299659
  epoch 10 batch 800/1071 loss=0.298869
  epoch 10 batch 850/1071 loss=0.299153
  epoch 10 batch 900/1071 loss=0.297994
  epoch 10 batch 950/1071 loss=0.297285
  epoch 10 batch 1000/1071 loss=0.295857
  epoch 10 batch 1050/1071 loss=0.297769
Epoch 10 | train_loss=0.298444 val_mse=0.175638 val_mae=0.285727 (29.2s)
  EarlyStopping: 2/8
  epoch 11 batch 50/1071 loss=0.263763
  epoch 11 batch 100/1071 loss=0.280784
  epoch 11 batch 150/1071 loss=0.280279
  epoch 11 batch 200/1071 loss=0.289793
  epoch 11 batch 250/1071 loss=0.290953
  epoch 11 batch 300/1071 loss=0.292685
  epoch 11 batch 350/1071 loss=0.293517
  epoch 11 batch 400/1071 loss=0.294012
  epoch 11 batch 450/1071 loss=0.291475
  epoch 11 batch 500/1071 loss=0.295794
