============================================================
data:
  name: ettm2
  root_path: data/ETT-small
  data_path: ETTm2.csv
  data_kind: ETTm
  features: M
  target: OT
  freq: t
  n_vars: 7
model:
  name: patchtst
  type: transformer
  d_model: 128
  d_ff: 256
  e_layers: 3
  n_heads: 16
  patch_len: 16
  stride: 8
  dropout: 0.2
  fc_dropout: 0.2
  head_dropout: 0.0
  activation: gelu
  revin: 1
  affine: 0
  subtract_last: 0
  decomposition: 0
  kernel_size: 25
  individual: 0
train:
  name: default
  seq_len: 96
  label_len: 48
  pred_len: 720
  batch_size: 32
  num_workers: 4
  train_epochs: 30
  patience: 8
  learning_rate: 0.0001
  loss: mse
  lradj: type3
  weight_decay: 0.0
  gradient_clip: 1.0
  use_amp: true
  gpu_resident_data: false
  matmul_precision: highest
  log_interval: 50
  val_interval: 1
  checkpoint_dir: checkpoints
  use_wandb: false
  wandb_project: vglg-tsf
seed: 2021
device: cuda
project: vglg-tsf
run_name: null
tag: supp_method_b

============================================================
Loaded data | train=33745 val=10801 test=10801
Built model: patchtst | params=1,506,384
  epoch 1 batch 50/1054 loss=0.606691
  epoch 1 batch 100/1054 loss=0.617538
  epoch 1 batch 150/1054 loss=0.624843
  epoch 1 batch 200/1054 loss=0.608607
  epoch 1 batch 250/1054 loss=0.601896
  epoch 1 batch 300/1054 loss=0.601847
  epoch 1 batch 350/1054 loss=0.607739
  epoch 1 batch 400/1054 loss=0.601913
  epoch 1 batch 450/1054 loss=0.603374
  epoch 1 batch 500/1054 loss=0.604241
  epoch 1 batch 550/1054 loss=0.600971
  epoch 1 batch 600/1054 loss=0.599061
  epoch 1 batch 650/1054 loss=0.595979
  epoch 1 batch 700/1054 loss=0.593743
  epoch 1 batch 750/1054 loss=0.592949
  epoch 1 batch 800/1054 loss=0.590049
  epoch 1 batch 850/1054 loss=0.591992
  epoch 1 batch 900/1054 loss=0.588179
  epoch 1 batch 950/1054 loss=0.589298
  epoch 1 batch 1000/1054 loss=0.587646
  epoch 1 batch 1050/1054 loss=0.589200
Epoch 1 | train_loss=0.588887 val_mse=0.292659 val_mae=0.368724 (31.1s)
  Validation improved to 0.292659; saved checkpoint.
  epoch 2 batch 50/1054 loss=0.601513
  epoch 2 batch 100/1054 loss=0.590839
  epoch 2 batch 150/1054 loss=0.600981
  epoch 2 batch 200/1054 loss=0.610033
  epoch 2 batch 250/1054 loss=0.598970
  epoch 2 batch 300/1054 loss=0.595213
  epoch 2 batch 350/1054 loss=0.593586
  epoch 2 batch 400/1054 loss=0.586890
  epoch 2 batch 450/1054 loss=0.592501
  epoch 2 batch 500/1054 loss=0.588686
  epoch 2 batch 550/1054 loss=0.583350
  epoch 2 batch 600/1054 loss=0.580988
  epoch 2 batch 650/1054 loss=0.580698
  epoch 2 batch 700/1054 loss=0.579460
  epoch 2 batch 750/1054 loss=0.579674
  epoch 2 batch 800/1054 loss=0.581619
  epoch 2 batch 850/1054 loss=0.580076
  epoch 2 batch 900/1054 loss=0.577905
  epoch 2 batch 950/1054 loss=0.577983
  epoch 2 batch 1000/1054 loss=0.577316
  epoch 2 batch 1050/1054 loss=0.575399
Epoch 2 | train_loss=0.575519 val_mse=0.290252 val_mae=0.366638 (26.8s)
  Validation improved to 0.290252; saved checkpoint.
  epoch 3 batch 50/1054 loss=0.579945
  epoch 3 batch 100/1054 loss=0.584897
  epoch 3 batch 150/1054 loss=0.573172
  epoch 3 batch 200/1054 loss=0.566806
  epoch 3 batch 250/1054 loss=0.574059
  epoch 3 batch 300/1054 loss=0.571508
  epoch 3 batch 350/1054 loss=0.567331
  epoch 3 batch 400/1054 loss=0.571119
  epoch 3 batch 450/1054 loss=0.576900
  epoch 3 batch 500/1054 loss=0.572560
