============================================================
data:
  name: ettm2
  root_path: data/ETT-small
  data_path: ETTm2.csv
  data_kind: ETTm
  features: M
  target: OT
  freq: t
  n_vars: 7
model:
  name: timemixer
  type: mlp
  d_model: 16
  d_ff: 32
  e_layers: 2
  down_sampling_layers: 3
  down_sampling_window: 2
  down_sampling_method: avg
  decomp_method: moving_avg
  moving_avg: 25
  top_k: 5
  channel_independence: 1
  use_norm: 1
  dropout: 0.1
train:
  name: default
  seq_len: 96
  label_len: 48
  pred_len: 192
  batch_size: 32
  num_workers: 4
  train_epochs: 10
  patience: 5
  learning_rate: 0.01
  loss: mse
  lradj: type3
  weight_decay: 0.0
  gradient_clip: 1.0
  use_amp: true
  gpu_resident_data: false
  matmul_precision: highest
  log_interval: 50
  val_interval: 1
  checkpoint_dir: checkpoints
  use_wandb: false
  wandb_project: vglg-tsf
seed: 2021
device: cuda
project: vglg-tsf
run_name: null
tag: supp_method_b

============================================================
Loaded data | train=34273 val=11329 test=11329
Built model: timemixer | params=93,017
  epoch 1 batch 50/1071 loss=0.340167
  epoch 1 batch 100/1071 loss=0.336623
  epoch 1 batch 150/1071 loss=0.334458
  epoch 1 batch 200/1071 loss=0.329007
  epoch 1 batch 250/1071 loss=0.335661
  epoch 1 batch 300/1071 loss=0.339977
  epoch 1 batch 350/1071 loss=0.340297
  epoch 1 batch 400/1071 loss=0.339810
  epoch 1 batch 450/1071 loss=0.338558
  epoch 1 batch 500/1071 loss=0.335879
  epoch 1 batch 550/1071 loss=0.338029
  epoch 1 batch 600/1071 loss=0.337191
  epoch 1 batch 650/1071 loss=0.337916
  epoch 1 batch 700/1071 loss=0.338870
  epoch 1 batch 750/1071 loss=0.339902
  epoch 1 batch 800/1071 loss=0.337779
  epoch 1 batch 850/1071 loss=0.334946
  epoch 1 batch 900/1071 loss=0.332531
  epoch 1 batch 950/1071 loss=0.331282
  epoch 1 batch 1000/1071 loss=0.331842
  epoch 1 batch 1050/1071 loss=0.332908
Epoch 1 | train_loss=0.332594 val_mse=0.173272 val_mae=0.286100 (20.4s)
  Validation improved to 0.173272; saved checkpoint.
  epoch 2 batch 50/1071 loss=0.333961
  epoch 2 batch 100/1071 loss=0.324825
  epoch 2 batch 150/1071 loss=0.332118
  epoch 2 batch 200/1071 loss=0.324554
  epoch 2 batch 250/1071 loss=0.321527
  epoch 2 batch 300/1071 loss=0.325399
  epoch 2 batch 350/1071 loss=0.320375
  epoch 2 batch 400/1071 loss=0.322393
  epoch 2 batch 450/1071 loss=0.322074
  epoch 2 batch 500/1071 loss=0.321998
  epoch 2 batch 550/1071 loss=0.320988
  epoch 2 batch 600/1071 loss=0.321161
  epoch 2 batch 650/1071 loss=0.322438
  epoch 2 batch 700/1071 loss=0.322842
  epoch 2 batch 750/1071 loss=0.320794
  epoch 2 batch 800/1071 loss=0.319996
  epoch 2 batch 850/1071 loss=0.321076
  epoch 2 batch 900/1071 loss=0.320691
  epoch 2 batch 950/1071 loss=0.321198
  epoch 2 batch 1000/1071 loss=0.319675
  epoch 2 batch 1050/1071 loss=0.324009
Epoch 2 | train_loss=0.324158 val_mse=0.175764 val_mae=0.287617 (19.9s)
  EarlyStopping: 1/5
  epoch 3 batch 50/1071 loss=0.358300
  epoch 3 batch 100/1071 loss=0.461311
  epoch 3 batch 150/1071 loss=0.412239
  epoch 3 batch 200/1071 loss=0.382046
  epoch 3 batch 250/1071 loss=0.369423
  epoch 3 batch 300/1071 loss=0.359616
  epoch 3 batch 350/1071 loss=0.351515
  epoch 3 batch 400/1071 loss=0.344404
