============================================================
data:
  name: traffic
  root_path: data/traffic
  data_path: traffic.csv
  data_kind: custom
  features: M
  target: OT
  freq: h
  n_vars: 862
model:
  name: lstm
  type: rnn
  d_model: 128
  e_layers: 2
  dropout: 0.1
  revin: true
  affine: true
train:
  name: default
  seq_len: 96
  label_len: 48
  pred_len: 720
  batch_size: 8
  num_workers: 4
  train_epochs: 10
  patience: 3
  learning_rate: 0.001
  loss: mse
  lradj: type1
  weight_decay: 0.0
  gradient_clip: 1.0
  use_amp: true
  gpu_resident_data: false
  matmul_precision: highest
  log_interval: 50
  val_interval: 1
  checkpoint_dir: checkpoints
  use_wandb: false
  wandb_project: vglg-tsf
seed: 2021
device: cuda
project: vglg-tsf
run_name: null
tag: supp_method_b

============================================================
Loaded data | train=11465 val=1037 test=2789
Built model: lstm | params=293,772
  epoch 1 batch 50/1433 loss=0.810055
  epoch 1 batch 100/1433 loss=0.708257
  epoch 1 batch 150/1433 loss=0.668695
  epoch 1 batch 200/1433 loss=0.647410
  epoch 1 batch 250/1433 loss=0.630992
  epoch 1 batch 300/1433 loss=0.618256
  epoch 1 batch 350/1433 loss=0.609100
  epoch 1 batch 400/1433 loss=0.600927
  epoch 1 batch 450/1433 loss=0.594497
  epoch 1 batch 500/1433 loss=0.588917
  epoch 1 batch 550/1433 loss=0.583186
  epoch 1 batch 600/1433 loss=0.576668
  epoch 1 batch 650/1433 loss=0.570421
  epoch 1 batch 700/1433 loss=0.565159
  epoch 1 batch 750/1433 loss=0.559987
  epoch 1 batch 800/1433 loss=0.555050
  epoch 1 batch 850/1433 loss=0.550433
  epoch 1 batch 900/1433 loss=0.546637
  epoch 1 batch 950/1433 loss=0.542784
  epoch 1 batch 1000/1433 loss=0.539425
  epoch 1 batch 1050/1433 loss=0.535850
  epoch 1 batch 1100/1433 loss=0.532535
  epoch 1 batch 1150/1433 loss=0.528930
  epoch 1 batch 1200/1433 loss=0.525844
  epoch 1 batch 1250/1433 loss=0.522618
  epoch 1 batch 1300/1433 loss=0.519666
  epoch 1 batch 1350/1433 loss=0.516476
  epoch 1 batch 1400/1433 loss=0.513589
Epoch 1 | train_loss=0.511657 val_mse=0.582573 val_mae=0.398381 (164.8s)
  Validation improved to 0.582573; saved checkpoint.
  epoch 2 batch 50/1433 loss=0.415829
  epoch 2 batch 100/1433 loss=0.416443
  epoch 2 batch 150/1433 loss=0.415875
  epoch 2 batch 200/1433 loss=0.414301
  epoch 2 batch 250/1433 loss=0.412638
  epoch 2 batch 300/1433 loss=0.412502
  epoch 2 batch 350/1433 loss=0.411590
  epoch 2 batch 400/1433 loss=0.409990
  epoch 2 batch 450/1433 loss=0.407875
  epoch 2 batch 500/1433 loss=0.405774
  epoch 2 batch 550/1433 loss=0.404112
  epoch 2 batch 600/1433 loss=0.402758
  epoch 2 batch 650/1433 loss=0.401285
  epoch 2 batch 700/1433 loss=0.399845
  epoch 2 batch 750/1433 loss=0.398282
  epoch 2 batch 800/1433 loss=0.396767
  epoch 2 batch 850/1433 loss=0.395510
  epoch 2 batch 900/1433 loss=0.394355
  epoch 2 batch 950/1433 loss=0.393396
  epoch 2 batch 1000/1433 loss=0.392254
  epoch 2 batch 1050/1433 loss=0.390995
  epoch 2 batch 1100/1433 loss=0.389838
  epoch 2 batch 1150/1433 loss=0.388689
  epoch 2 batch 1200/1433 loss=0.387567
  epoch 2 batch 1250/1433 loss=0.386560
