============================================================
data:
  name: weather
  root_path: data/weather
  data_path: weather.csv
  data_kind: custom
  features: M
  target: OT
  freq: t
  n_vars: 21
model:
  name: gru
  type: rnn
  d_model: 128
  e_layers: 2
  dropout: 0.1
  revin: true
  affine: true
train:
  name: default
  seq_len: 96
  label_len: 48
  pred_len: 336
  batch_size: 32
  num_workers: 4
  train_epochs: 10
  patience: 3
  learning_rate: 0.001
  loss: mse
  lradj: type1
  weight_decay: 0.0
  gradient_clip: 1.0
  use_amp: true
  gpu_resident_data: false
  matmul_precision: highest
  log_interval: 50
  val_interval: 1
  checkpoint_dir: checkpoints
  use_wandb: false
  wandb_project: vglg-tsf
seed: 2021
device: cuda
project: vglg-tsf
run_name: null
tag: supp_method_b

============================================================
Loaded data | train=36456 val=4935 test=10204
Built model: gru | params=192,762
  epoch 1 batch 50/1139 loss=0.691324
  epoch 1 batch 100/1139 loss=0.693116
  epoch 1 batch 150/1139 loss=0.703568
  epoch 1 batch 200/1139 loss=0.692939
  epoch 1 batch 250/1139 loss=0.691264
  epoch 1 batch 300/1139 loss=0.685391
  epoch 1 batch 350/1139 loss=0.680423
  epoch 1 batch 400/1139 loss=0.672043
  epoch 1 batch 450/1139 loss=0.665297
  epoch 1 batch 500/1139 loss=0.657292
  epoch 1 batch 550/1139 loss=0.650790
  epoch 1 batch 600/1139 loss=0.644556
  epoch 1 batch 650/1139 loss=0.640685
  epoch 1 batch 700/1139 loss=0.636560
  epoch 1 batch 750/1139 loss=0.635801
  epoch 1 batch 800/1139 loss=0.631193
  epoch 1 batch 850/1139 loss=0.628362
  epoch 1 batch 900/1139 loss=0.629544
  epoch 1 batch 950/1139 loss=0.626075
  epoch 1 batch 1000/1139 loss=0.625951
  epoch 1 batch 1050/1139 loss=0.624102
  epoch 1 batch 1100/1139 loss=0.622428
Epoch 1 | train_loss=0.621016 val_mse=0.571505 val_mae=0.386714 (10.2s)
  Validation improved to 0.571505; saved checkpoint.
  epoch 2 batch 50/1139 loss=0.641885
  epoch 2 batch 100/1139 loss=0.601165
  epoch 2 batch 150/1139 loss=0.600853
  epoch 2 batch 200/1139 loss=0.589023
  epoch 2 batch 250/1139 loss=0.590972
  epoch 2 batch 300/1139 loss=0.588430
  epoch 2 batch 350/1139 loss=0.586802
  epoch 2 batch 400/1139 loss=0.582463
  epoch 2 batch 450/1139 loss=0.580921
  epoch 2 batch 500/1139 loss=0.580202
  epoch 2 batch 550/1139 loss=0.581263
  epoch 2 batch 600/1139 loss=0.580114
  epoch 2 batch 650/1139 loss=0.577210
  epoch 2 batch 700/1139 loss=0.579251
  epoch 2 batch 750/1139 loss=0.578886
  epoch 2 batch 800/1139 loss=0.579014
  epoch 2 batch 850/1139 loss=0.577235
  epoch 2 batch 900/1139 loss=0.575331
  epoch 2 batch 950/1139 loss=0.574007
  epoch 2 batch 1000/1139 loss=0.571176
  epoch 2 batch 1050/1139 loss=0.569961
  epoch 2 batch 1100/1139 loss=0.568728
Epoch 2 | train_loss=0.568117 val_mse=0.552886 val_mae=0.376178 (10.1s)
  Validation improved to 0.552886; saved checkpoint.
  epoch 3 batch 50/1139 loss=0.557652
  epoch 3 batch 100/1139 loss=0.562146
  epoch 3 batch 150/1139 loss=0.559944
  epoch 3 batch 200/1139 loss=0.556963
  epoch 3 batch 250/1139 loss=0.550439
  epoch 3 batch 300/1139 loss=0.554858
  epoch 3 batch 350/1139 loss=0.560032
  epoch 3 batch 400/1139 loss=0.559524
  epoch 3 batch 450/1139 loss=0.556186
  epoch 3 batch 500/1139 loss=0.558656
  epoch 3 batch 550/1139 loss=0.557178
  epoch 3 batch 600/1139 loss=0.556068
  epoch 3 batch 650/1139 loss=0.554091
  epoch 3 batch 700/1139 loss=0.552846
  epoch 3 batch 750/1139 loss=0.553318
  epoch 3 batch 800/1139 loss=0.552128
  epoch 3 batch 850/1139 loss=0.551792
  epoch 3 batch 900/1139 loss=0.552522
  epoch 3 batch 950/1139 loss=0.550761
  epoch 3 batch 1000/1139 loss=0.549926
  epoch 3 batch 1050/1139 loss=0.549742
  epoch 3 batch 1100/1139 loss=0.549322
Epoch 3 | train_loss=0.550389 val_mse=0.545958 val_mae=0.374717 (10.1s)
  Validation improved to 0.545958; saved checkpoint.
  epoch 4 batch 50/1139 loss=0.551371
  epoch 4 batch 100/1139 loss=0.536511
  epoch 4 batch 150/1139 loss=0.528567
  epoch 4 batch 200/1139 loss=0.532161
  epoch 4 batch 250/1139 loss=0.541345
  epoch 4 batch 300/1139 loss=0.542473
  epoch 4 batch 350/1139 loss=0.547518
  epoch 4 batch 400/1139 loss=0.545746
  epoch 4 batch 450/1139 loss=0.543367
  epoch 4 batch 500/1139 loss=0.541798
  epoch 4 batch 550/1139 loss=0.542957
  epoch 4 batch 600/1139 loss=0.542099
  epoch 4 batch 650/1139 loss=0.539896
  epoch 4 batch 700/1139 loss=0.540593
  epoch 4 batch 750/1139 loss=0.540474
  epoch 4 batch 800/1139 loss=0.540878
  epoch 4 batch 850/1139 loss=0.542154
  epoch 4 batch 900/1139 loss=0.541169
  epoch 4 batch 950/1139 loss=0.540156
  epoch 4 batch 1000/1139 loss=0.541273
  epoch 4 batch 1050/1139 loss=0.541952
  epoch 4 batch 1100/1139 loss=0.541928
Epoch 4 | train_loss=0.542330 val_mse=0.544687 val_mae=0.373966 (10.2s)
  Validation improved to 0.544687; saved checkpoint.
  epoch 5 batch 50/1139 loss=0.523699
  epoch 5 batch 100/1139 loss=0.542939
  epoch 5 batch 150/1139 loss=0.547069
  epoch 5 batch 200/1139 loss=0.545939
  epoch 5 batch 250/1139 loss=0.541350
  epoch 5 batch 300/1139 loss=0.541036
  epoch 5 batch 350/1139 loss=0.537326
  epoch 5 batch 400/1139 loss=0.536433
  epoch 5 batch 450/1139 loss=0.539036
  epoch 5 batch 500/1139 loss=0.538708
  epoch 5 batch 550/1139 loss=0.538113
  epoch 5 batch 600/1139 loss=0.537472
  epoch 5 batch 650/1139 loss=0.538815
  epoch 5 batch 700/1139 loss=0.536685
  epoch 5 batch 750/1139 loss=0.536868
  epoch 5 batch 800/1139 loss=0.537095
  epoch 5 batch 850/1139 loss=0.537496
  epoch 5 batch 900/1139 loss=0.537932
  epoch 5 batch 950/1139 loss=0.537359
  epoch 5 batch 1000/1139 loss=0.537327
  epoch 5 batch 1050/1139 loss=0.537244
  epoch 5 batch 1100/1139 loss=0.537074
Epoch 5 | train_loss=0.537198 val_mse=0.544678 val_mae=0.373855 (10.1s)
  Validation improved to 0.544678; saved checkpoint.
  epoch 6 batch 50/1139 loss=0.548263
