============================================================
data:
  name: weather
  root_path: data/weather
  data_path: weather.csv
  data_kind: custom
  features: M
  target: OT
  freq: t
  n_vars: 21
model:
  name: itransformer
  type: transformer
  d_model: 256
  d_ff: 256
  e_layers: 2
  n_heads: 8
  factor: 1
  dropout: 0.1
  activation: gelu
  use_norm: 1
  output_attention: false
train:
  name: default
  seq_len: 96
  label_len: 48
  pred_len: 720
  batch_size: 32
  num_workers: 4
  train_epochs: 10
  patience: 3
  learning_rate: 0.0005
  loss: mse
  lradj: type1
  weight_decay: 0.0
  gradient_clip: 1.0
  use_amp: true
  gpu_resident_data: false
  matmul_precision: highest
  log_interval: 50
  val_interval: 1
  checkpoint_dir: checkpoints
  use_wandb: false
  wandb_project: vglg-tsf
seed: 2021
device: cuda
project: vglg-tsf
run_name: null
tag: supp_method_b

============================================================
Loaded data | train=36072 val=4551 test=9820
Built model: itransformer | params=1,001,936
  epoch 1 batch 50/1127 loss=0.820095
  epoch 1 batch 100/1127 loss=0.788578
  epoch 1 batch 150/1127 loss=0.773302
  epoch 1 batch 200/1127 loss=0.762131
  epoch 1 batch 250/1127 loss=0.759425
  epoch 1 batch 300/1127 loss=0.754615
  epoch 1 batch 350/1127 loss=0.747942
  epoch 1 batch 400/1127 loss=0.745442
  epoch 1 batch 450/1127 loss=0.741939
  epoch 1 batch 500/1127 loss=0.738285
  epoch 1 batch 550/1127 loss=0.733698
  epoch 1 batch 600/1127 loss=0.734402
  epoch 1 batch 650/1127 loss=0.732506
  epoch 1 batch 700/1127 loss=0.730796
  epoch 1 batch 750/1127 loss=0.728665
  epoch 1 batch 800/1127 loss=0.725550
  epoch 1 batch 850/1127 loss=0.723763
  epoch 1 batch 900/1127 loss=0.721486
  epoch 1 batch 950/1127 loss=0.720297
  epoch 1 batch 1000/1127 loss=0.718558
  epoch 1 batch 1050/1127 loss=0.717042
  epoch 1 batch 1100/1127 loss=0.716042
Epoch 1 | train_loss=0.715288 val_mse=0.755789 val_mae=0.481643 (10.7s)
  Validation improved to 0.755789; saved checkpoint.
  epoch 2 batch 50/1127 loss=0.697933
  epoch 2 batch 100/1127 loss=0.700383
  epoch 2 batch 150/1127 loss=0.692166
  epoch 2 batch 200/1127 loss=0.692748
