============================================================
data:
  name: weather
  root_path: data/weather
  data_path: weather.csv
  data_kind: custom
  features: M
  target: OT
  freq: t
  n_vars: 21
model:
  name: lstm
  type: rnn
  d_model: 128
  e_layers: 2
  dropout: 0.1
  revin: true
  affine: true
train:
  name: default
  seq_len: 96
  label_len: 48
  pred_len: 96
  batch_size: 32
  num_workers: 4
  train_epochs: 10
  patience: 3
  learning_rate: 0.001
  loss: mse
  lradj: type1
  weight_decay: 0.0
  gradient_clip: 1.0
  use_amp: true
  gpu_resident_data: false
  matmul_precision: highest
  log_interval: 50
  val_interval: 1
  checkpoint_dir: checkpoints
  use_wandb: false
  wandb_project: vglg-tsf
seed: 2021
device: cuda
project: vglg-tsf
run_name: null
tag: supp_method_b

============================================================
Loaded data | train=36696 val=5175 test=10444
Built model: lstm | params=211,594
  epoch 1 batch 50/1146 loss=0.590002
  epoch 1 batch 100/1146 loss=0.562149
  epoch 1 batch 150/1146 loss=0.548201
  epoch 1 batch 200/1146 loss=0.544807
  epoch 1 batch 250/1146 loss=0.549495
  epoch 1 batch 300/1146 loss=0.547202
  epoch 1 batch 350/1146 loss=0.533652
  epoch 1 batch 400/1146 loss=0.529424
  epoch 1 batch 450/1146 loss=0.524993
  epoch 1 batch 500/1146 loss=0.523225
  epoch 1 batch 550/1146 loss=0.523176
  epoch 1 batch 600/1146 loss=0.519128
  epoch 1 batch 650/1146 loss=0.521119
  epoch 1 batch 700/1146 loss=0.518009
  epoch 1 batch 750/1146 loss=0.517023
  epoch 1 batch 800/1146 loss=0.512081
  epoch 1 batch 850/1146 loss=0.506345
  epoch 1 batch 900/1146 loss=0.505301
  epoch 1 batch 950/1146 loss=0.502630
  epoch 1 batch 1000/1146 loss=0.498472
  epoch 1 batch 1050/1146 loss=0.494790
  epoch 1 batch 1100/1146 loss=0.491987
Epoch 1 | train_loss=0.487526 val_mse=0.419312 val_mae=0.291591 (8.9s)
  Validation improved to 0.419312; saved checkpoint.
