============================================================
data:
  name: weather
  root_path: data/weather
  data_path: weather.csv
  data_kind: custom
  features: M
  target: OT
  freq: t
  n_vars: 21
model:
  name: patchtst
  type: transformer
  d_model: 128
  d_ff: 256
  e_layers: 3
  n_heads: 16
  patch_len: 16
  stride: 8
  dropout: 0.2
  fc_dropout: 0.2
  head_dropout: 0.0
  activation: gelu
  revin: 1
  affine: 0
  subtract_last: 0
  decomposition: 0
  kernel_size: 25
  individual: 0
train:
  name: default
  seq_len: 96
  label_len: 48
  pred_len: 720
  batch_size: 32
  num_workers: 4
  train_epochs: 30
  patience: 8
  learning_rate: 0.0001
  loss: mse
  lradj: type3
  weight_decay: 0.0
  gradient_clip: 1.0
  use_amp: true
  gpu_resident_data: false
  matmul_precision: highest
  log_interval: 50
  val_interval: 1
  checkpoint_dir: checkpoints
  use_wandb: false
  wandb_project: vglg-tsf
seed: 2021
device: cuda
project: vglg-tsf
run_name: null
tag: supp_method_b

============================================================
Loaded data | train=36072 val=4551 test=9820
Built model: patchtst | params=1,506,384
  epoch 1 batch 50/1127 loss=0.851038
  epoch 1 batch 100/1127 loss=0.796135
  epoch 1 batch 150/1127 loss=0.783923
  epoch 1 batch 200/1127 loss=0.768743
  epoch 1 batch 250/1127 loss=0.767464
  epoch 1 batch 300/1127 loss=0.762226
  epoch 1 batch 350/1127 loss=0.759689
  epoch 1 batch 400/1127 loss=0.755770
  epoch 1 batch 450/1127 loss=0.752482
  epoch 1 batch 500/1127 loss=0.751196
  epoch 1 batch 550/1127 loss=0.747843
  epoch 1 batch 600/1127 loss=0.740986
  epoch 1 batch 650/1127 loss=0.739321
  epoch 1 batch 700/1127 loss=0.737021
  epoch 1 batch 750/1127 loss=0.734795
  epoch 1 batch 800/1127 loss=0.734393
  epoch 1 batch 850/1127 loss=0.734313
  epoch 1 batch 900/1127 loss=0.731144
  epoch 1 batch 950/1127 loss=0.730280
  epoch 1 batch 1000/1127 loss=0.729243
  epoch 1 batch 1050/1127 loss=0.728904
  epoch 1 batch 1100/1127 loss=0.729669
Epoch 1 | train_loss=0.728934 val_mse=0.741109 val_mae=0.478711 (230.2s)
  Validation improved to 0.741109; saved checkpoint.
  epoch 2 batch 50/1127 loss=0.704538
  epoch 2 batch 100/1127 loss=0.699368
  epoch 2 batch 150/1127 loss=0.694417
  epoch 2 batch 200/1127 loss=0.694891
  epoch 2 batch 250/1127 loss=0.700648
  epoch 2 batch 300/1127 loss=0.699755
  epoch 2 batch 350/1127 loss=0.698554
  epoch 2 batch 400/1127 loss=0.699069
  epoch 2 batch 450/1127 loss=0.702320
  epoch 2 batch 500/1127 loss=0.703410
  epoch 2 batch 550/1127 loss=0.702942
  epoch 2 batch 600/1127 loss=0.702635
  epoch 2 batch 650/1127 loss=0.702491
  epoch 2 batch 700/1127 loss=0.702566
  epoch 2 batch 750/1127 loss=0.702756
  epoch 2 batch 800/1127 loss=0.703384
  epoch 2 batch 850/1127 loss=0.703757
  epoch 2 batch 900/1127 loss=0.703154
