============================================================
data:
  name: weather
  root_path: data/weather
  data_path: weather.csv
  data_kind: custom
  features: M
  target: OT
  freq: t
  n_vars: 21
model:
  name: segrnn
  type: rnn
  d_model: 512
  seg_len: 48
  dropout: 0.5
train:
  name: default
  seq_len: 96
  label_len: 48
  pred_len: 96
  batch_size: 32
  num_workers: 4
  train_epochs: 30
  patience: 8
  learning_rate: 0.001
  loss: mse
  lradj: type3
  weight_decay: 0.0
  gradient_clip: 1.0
  use_amp: true
  gpu_resident_data: false
  matmul_precision: highest
  log_interval: 50
  val_interval: 1
  checkpoint_dir: checkpoints
  use_wandb: false
  wandb_project: vglg-tsf
seed: 2021
device: cuda
project: vglg-tsf
run_name: null
tag: supp_method_b

============================================================
Loaded data | train=36696 val=5175 test=10444
Built model: segrnn | params=1,631,536
  epoch 1 batch 50/1146 loss=0.757824
  epoch 1 batch 100/1146 loss=0.631297
  epoch 1 batch 150/1146 loss=0.943921
  epoch 1 batch 200/1146 loss=0.812621
  epoch 1 batch 250/1146 loss=0.761592
  epoch 1 batch 300/1146 loss=0.710418
  epoch 1 batch 350/1146 loss=0.705539
  epoch 1 batch 400/1146 loss=0.679585
  epoch 1 batch 450/1146 loss=0.658468
  epoch 1 batch 500/1146 loss=0.641102
  epoch 1 batch 550/1146 loss=0.617314
  epoch 1 batch 600/1146 loss=0.601843
  epoch 1 batch 650/1146 loss=0.593625
  epoch 1 batch 700/1146 loss=0.583809
  epoch 1 batch 750/1146 loss=0.572913
  epoch 1 batch 800/1146 loss=0.566176
  epoch 1 batch 850/1146 loss=0.562345
  epoch 1 batch 900/1146 loss=0.553060
  epoch 1 batch 950/1146 loss=0.543987
  epoch 1 batch 1000/1146 loss=0.536915
  epoch 1 batch 1050/1146 loss=0.530567
  epoch 1 batch 1100/1146 loss=0.524477
Epoch 1 | train_loss=0.519954 val_mse=0.450296 val_mae=0.280448 (13.1s)
  Validation improved to 0.450296; saved checkpoint.
  epoch 2 batch 50/1146 loss=0.440692
  epoch 2 batch 100/1146 loss=0.443138
  epoch 2 batch 150/1146 loss=0.429472
  epoch 2 batch 200/1146 loss=0.715045
  epoch 2 batch 250/1146 loss=0.655642
  epoch 2 batch 300/1146 loss=0.606482
  epoch 2 batch 350/1146 loss=0.581681
  epoch 2 batch 400/1146 loss=0.565538
  epoch 2 batch 450/1146 loss=0.548140
  epoch 2 batch 500/1146 loss=0.532308
  epoch 2 batch 550/1146 loss=0.522238
  epoch 2 batch 600/1146 loss=0.516169
  epoch 2 batch 650/1146 loss=0.510429
  epoch 2 batch 700/1146 loss=0.505232
  epoch 2 batch 750/1146 loss=0.499109
  epoch 2 batch 800/1146 loss=0.493706
  epoch 2 batch 850/1146 loss=0.492105
  epoch 2 batch 900/1146 loss=0.489042
  epoch 2 batch 950/1146 loss=0.484513
  epoch 2 batch 1000/1146 loss=0.480051
  epoch 2 batch 1050/1146 loss=0.479323
  epoch 2 batch 1100/1146 loss=0.474204
Epoch 2 | train_loss=0.475974 val_mse=0.438564 val_mae=0.282522 (12.6s)
  Validation improved to 0.438564; saved checkpoint.
  epoch 3 batch 50/1146 loss=0.452408
  epoch 3 batch 100/1146 loss=0.451586
  epoch 3 batch 150/1146 loss=0.432885
  epoch 3 batch 200/1146 loss=0.425646
  epoch 3 batch 250/1146 loss=0.451512
  epoch 3 batch 300/1146 loss=0.452000
  epoch 3 batch 350/1146 loss=0.444817
  epoch 3 batch 400/1146 loss=0.562259
  epoch 3 batch 450/1146 loss=0.550066
  epoch 3 batch 500/1146 loss=0.538739
  epoch 3 batch 550/1146 loss=0.524231
